Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2024-03-27 00:00:00,0,1830,1830
2024-03-27 00:05:00,0,2057,2057
2024-03-27 00:10:00,0,1894,1894
2024-03-27 00:15:00,0,2132,2132
2024-03-27 00:20:00,0,2166,2166
2024-03-27 00:25:00,0,1930,1930
2024-03-27 00:30:00,0,1844,1844
2024-03-27 00:35:00,0,1897,1897
2024-03-27 00:40:00,0,301,301
2024-03-27 00:45:00,0,300,300
2024-03-27 00:50:00,0,328,328
2024-03-27 00:55:00,0,359,359
2024-03-27 01:00:00,0,364,364
2024-03-27 01:05:00,0,365,365
2024-03-27 01:10:00,0,371,371
2024-03-27 01:15:00,0,584,584
2024-03-27 01:20:00,0,296,296
2024-03-27 01:25:00,0,511,511
2024-03-27 01:30:00,0,309,309
2024-03-27 01:35:00,0,363,363
2024-03-27 01:40:00,0,359,359
2024-03-27 01:45:00,0,357,357
2024-03-27 01:50:00,0,561,561
2024-03-27 01:55:00,0,377,377
2024-03-27 02:00:00,0,350,350
2024-03-27 02:05:00,0,288,288
2024-03-27 02:10:00,0,290,290
2024-03-27 02:15:00,0,357,357
2024-03-27 02:20:00,0,375,375
2024-03-27 02:25:00,0,353,353
2024-03-27 02:30:00,0,348,348
2024-03-27 02:35:00,0,355,355
2024-03-27 02:40:00,0,345,345
2024-03-27 02:45:00,0,294,294
2024-03-27 02:50:00,0,293,293
2024-03-27 02:55:00,0,313,313
2024-03-27 03:00:00,0,1872,1872
2024-03-27 03:05:00,0,1806,1806
2024-03-27 03:10:00,0,1860,1860
2024-03-27 03:15:00,0,1816,1816
2024-03-27 03:20:00,0,1823,1823
2024-03-27 03:25:00,0,1779,1779
2024-03-27 03:30:00,0,1828,1828
2024-03-27 03:35:00,0,1883,1883
2024-03-27 03:40:00,0,1844,1844
2024-03-27 03:45:00,0,2051,2051
2024-03-27 03:50:00,0,1853,1853
2024-03-27 03:55:00,0,1865,1865
2024-03-27 04:00:00,0,345,345
2024-03-27 04:05:00,0,339,339
2024-03-27 04:10:00,0,283,283
2024-03-27 04:15:00,0,612,612
2024-03-27 04:20:00,0,614,614
2024-03-27 04:25:00,0,280,280
2024-03-27 04:30:00,0,551,551
2024-03-27 04:35:00,0,329,329
2024-03-27 04:40:00,0,378,378
2024-03-27 04:45:00,0,377,377
2024-03-27 04:50:00,0,382,382
2024-03-27 04:55:00,0,384,384
2024-03-27 05:00:00,0,381,381
2024-03-27 05:05:00,0,369,369
2024-03-27 05:10:00,0,376,376
2024-03-27 05:15:00,0,498,498
2024-03-27 05:20:00,0,294,294
2024-03-27 05:25:00,0,306,306
2024-03-27 05:30:00,0,351,351
2024-03-27 05:35:00,0,350,350
2024-03-27 05:40:00,0,566,566
2024-03-27 05:45:00,0,358,358
2024-03-27 05:50:00,0,360,360
2024-03-27 05:55:00,0,366,366
2024-03-27 06:00:00,0,358,358
2024-03-27 06:05:00,0,521,521
2024-03-27 06:10:00,0,302,302
2024-03-27 06:15:00,0,369,369
2024-03-27 06:20:00,0,388,388
2024-03-27 06:25:00,0,441,441
2024-03-27 06:30:00,0,362,362
2024-03-27 06:35:00,117,465,582
2024-03-27 06:40:00,172,412,584
2024-03-27 06:45:00,220,155,375
2024-03-27 06:50:00,341,182,523
2024-03-27 06:55:00,309,4,313
2024-03-27 07:00:00,408,-84,324
2024-03-27 07:05:00,555,26,581
2024-03-27 07:10:00,451,-79,372
2024-03-27 07:15:00,429,-53,376
2024-03-27 07:20:00,472,94,566
2024-03-27 07:25:00,520,-159,361
2024-03-27 07:30:00,474,139,613
2024-03-27 07:35:00,369,271,640
2024-03-27 07:40:00,522,118,640
2024-03-27 07:45:00,603,94,697
2024-03-27 07:50:00,816,151,967
2024-03-27 07:55:00,850,-151,699
2024-03-27 08:00:00,791,-101,690
2024-03-27 08:05:00,1219,-521,698
