Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-11-03 00:00:00,0,1941,1941
2023-11-03 00:05:00,0,1941,1941
2023-11-03 00:10:00,0,401,401
2023-11-03 00:15:00,0,286,286
2023-11-03 00:20:00,0,276,276
2023-11-03 00:25:00,0,276,276
2023-11-03 00:30:00,0,372,372
2023-11-03 00:35:00,0,380,380
2023-11-03 00:40:00,0,393,393
2023-11-03 00:45:00,0,270,270
2023-11-03 00:50:00,0,280,280
2023-11-03 00:55:00,0,306,306
2023-11-03 01:00:00,0,379,379
2023-11-03 01:05:00,0,417,417
2023-11-03 01:10:00,0,412,412
2023-11-03 01:15:00,0,395,395
2023-11-03 01:20:00,0,389,389
2023-11-03 01:25:00,0,280,280
2023-11-03 01:30:00,0,283,283
2023-11-03 01:35:00,0,293,293
2023-11-03 01:40:00,0,360,360
2023-11-03 01:45:00,0,381,381
2023-11-03 01:50:00,0,272,272
2023-11-03 01:55:00,0,278,278
2023-11-03 02:00:00,0,284,284
2023-11-03 02:05:00,0,382,382
2023-11-03 02:10:00,0,1857,1857
2023-11-03 02:15:00,0,1919,1919
2023-11-03 02:20:00,0,1959,1959
2023-11-03 02:25:00,0,390,390
2023-11-03 02:30:00,0,390,390
2023-11-03 02:35:00,0,282,282
2023-11-03 02:40:00,0,279,279
2023-11-03 02:45:00,0,377,377
2023-11-03 02:50:00,0,360,360
2023-11-03 02:55:00,0,373,373
2023-11-03 03:00:00,0,278,278
2023-11-03 03:05:00,0,269,269
2023-11-03 03:10:00,0,277,277
2023-11-03 03:15:00,0,384,384
2023-11-03 03:20:00,0,392,392
2023-11-03 03:25:00,0,403,403
2023-11-03 03:30:00,0,389,389
2023-11-03 03:35:00,0,380,380
2023-11-03 03:40:00,0,277,277
2023-11-03 03:45:00,0,262,262
2023-11-03 03:50:00,0,270,270
2023-11-03 03:55:00,0,349,349
2023-11-03 04:00:00,0,1799,1799
2023-11-03 04:05:00,0,1870,1870
2023-11-03 04:10:00,0,1803,1803
2023-11-03 04:15:00,0,272,272
2023-11-03 04:20:00,0,533,533
2023-11-03 04:25:00,0,370,370
2023-11-03 04:30:00,0,401,401
2023-11-03 04:35:00,0,396,396
2023-11-03 04:40:00,0,386,386
2023-11-03 04:45:00,0,375,375
2023-11-03 04:50:00,0,266,266
2023-11-03 04:55:00,0,279,279
2023-11-03 05:00:00,0,335,335
2023-11-03 05:05:00,0,364,364
2023-11-03 05:10:00,0,383,383
2023-11-03 05:15:00,0,1509,1509
2023-11-03 05:20:00,0,1752,1752
2023-11-03 05:25:00,0,1794,1794
2023-11-03 05:30:00,0,1930,1930
2023-11-03 05:35:00,0,1901,1901
2023-11-03 05:40:00,0,2052,2052
2023-11-03 05:45:00,0,2073,2073
2023-11-03 05:50:00,0,2010,2010
2023-11-03 05:55:00,0,2059,2059
2023-11-03 06:00:00,0,2113,2113
2023-11-03 06:05:00,0,2175,2175
2023-11-03 06:10:00,0,2224,2224
2023-11-03 06:15:00,0,2253,2253
2023-11-03 06:20:00,0,2333,2333
2023-11-03 06:25:00,0,2416,2416
2023-11-03 06:30:00,0,2456,2456
2023-11-03 06:35:00,0,2500,2500
2023-11-03 06:40:00,0,2537,2537
2023-11-03 06:45:00,0,2565,2565
2023-11-03 06:50:00,0,348,348
2023-11-03 06:55:00,0,497,497
2023-11-03 07:00:00,0,315,315
2023-11-03 07:05:00,0,306,306
2023-11-03 07:10:00,0,340,340
2023-11-03 07:15:00,0,567,567
2023-11-03 07:20:00,0,2284,2284
2023-11-03 07:25:00,0,2070,2070
2023-11-03 07:30:00,0,2432,2432
2023-11-03 07:35:00,0,2462,2462
2023-11-03 07:40:00,0,705,705
2023-11-03 07:45:00,0,702,702
2023-11-03 07:50:00,0,639,639
2023-11-03 07:55:00,76,789,865
2023-11-03 08:00:00,100,548,648
2023-11-03 08:05:00,118,866,984
2023-11-03 08:10:00,174,665,839
2023-11-03 08:15:00,222,989,1211
2023-11-03 08:20:00,254,746,1000
2023-11-03 08:25:00,263,1989,2252
2023-11-03 08:30:00,283,1940,2223
2023-11-03 08:35:00,345,1674,2019
2023-11-03 08:40:00,371,8902,9273
2023-11-03 08:45:00,440,2855,3295
2023-11-03 08:50:00,479,3313,3792
2023-11-03 08:55:00,497,2908,3405
2023-11-03 09:00:00,518,3133,3651
2023-11-03 09:05:00,489,3152,3641
2023-11-03 09:10:00,621,2637,3258
2023-11-03 09:15:00,789,2707,3496
2023-11-03 09:20:00,1041,2201,3242
2023-11-03 09:25:00,1104,2195,3299
2023-11-03 09:30:00,1049,4517,5566
2023-11-03 09:35:00,1082,3724,4806
2023-11-03 09:40:00,1110,4574,5684
2023-11-03 09:45:00,1078,3909,4987
2023-11-03 09:50:00,1067,2399,3466
2023-11-03 09:55:00,998,4666,5664
2023-11-03 10:00:00,886,3369,4255
2023-11-03 10:05:00,838,2844,3682
2023-11-03 10:10:00,784,4061,4845
2023-11-03 10:15:00,856,2596,3452
2023-11-03 10:20:00,1013,2483,3496
2023-11-03 10:25:00,1176,-647,529
2023-11-03 10:30:00,1255,-734,521
2023-11-03 10:35:00,1293,-515,778
2023-11-03 10:40:00,1399,-566,833
2023-11-03 10:45:00,1501,-709,792
2023-11-03 10:50:00,1635,-1056,579
2023-11-03 10:55:00,1675,-1101,574
2023-11-03 11:00:00,1661,-1083,578
2023-11-03 11:05:00,1628,-845,783
2023-11-03 11:10:00,1578,-1055,523
2023-11-03 11:15:00,1699,-1186,513
2023-11-03 11:20:00,1737,-996,741
2023-11-03 11:25:00,1715,-891,824
2023-11-03 11:30:00,1723,1883,3606
2023-11-03 11:35:00,1689,282,1971
2023-11-03 11:40:00,1538,338,1876
2023-11-03 11:45:00,1495,401,1896
2023-11-03 11:50:00,1533,729,2262
2023-11-03 11:55:00,1521,668,2189
2023-11-03 12:00:00,1557,1606,3163
2023-11-03 12:05:00,1592,1511,3103
2023-11-03 12:10:00,1650,195,1845
2023-11-03 12:15:00,1652,-885,767
2023-11-03 12:20:00,1636,-928,708
2023-11-03 12:25:00,1722,-975,747
2023-11-03 12:30:00,1795,-886,909
2023-11-03 12:35:00,1730,-959,771
2023-11-03 12:40:00,1764,-833,931
2023-11-03 12:45:00,1946,-1198,748
2023-11-03 12:50:00,2114,-1426,688
2023-11-03 12:55:00,2263,-51,2212
2023-11-03 13:00:00,2368,-483,1885
2023-11-03 13:05:00,2293,-274,2019
2023-11-03 13:10:00,1991,2730,4721
2023-11-03 13:15:00,1868,1233,3101
2023-11-03 13:20:00,2067,1126,3193
2023-11-03 13:25:00,2078,1165,3243
2023-11-03 13:30:00,1965,-1383,582
2023-11-03 13:35:00,1836,1471,3307
2023-11-03 13:40:00,1746,1357,3103
2023-11-03 13:45:00,1533,1452,2985
2023-11-03 13:50:00,1621,1186,2807
2023-11-03 13:55:00,1650,1150,2800
2023-11-03 14:00:00,1586,1215,2801
2023-11-03 14:05:00,1533,1294,2827
2023-11-03 14:10:00,1475,1368,2843
2023-11-03 14:15:00,1354,1486,2840
2023-11-03 14:20:00,1245,1892,3137
2023-11-03 14:25:00,1153,2011,3164
2023-11-03 14:30:00,1101,-221,880
2023-11-03 14:35:00,1088,-231,857
2023-11-03 14:40:00,1068,-191,877
2023-11-03 14:45:00,1040,-373,667
2023-11-03 14:50:00,966,-372,594
2023-11-03 14:55:00,928,-324,604
2023-11-03 15:00:00,875,43,918
2023-11-03 15:05:00,807,24,831
2023-11-03 15:10:00,761,-138,623
2023-11-03 15:15:00,768,-148,620
2023-11-03 15:20:00,820,-154,666
2023-11-03 15:25:00,885,-232,653
2023-11-03 15:30:00,919,-91,828
2023-11-03 15:35:00,1042,-343,699
2023-11-03 15:40:00,1320,-709,611
2023-11-03 15:45:00,1283,696,1979
2023-11-03 15:50:00,1271,997,2268
2023-11-03 15:55:00,1213,872,2085
2023-11-03 16:00:00,1188,1210,2398
2023-11-03 16:05:00,1091,-604,487
2023-11-03 16:10:00,1086,6445,7531
2023-11-03 16:15:00,982,2340,3322
2023-11-03 16:20:00,860,2485,3345
2023-11-03 16:25:00,708,2876,3584
2023-11-03 16:30:00,565,2708,3273
2023-11-03 16:35:00,464,247,711
2023-11-03 16:40:00,352,563,915
2023-11-03 16:45:00,247,388,635
2023-11-03 16:50:00,146,1923,2069
2023-11-03 16:55:00,79,1895,1974
2023-11-03 17:00:00,42,1966,2008
2023-11-03 17:05:00,12,1951,1963
2023-11-03 17:10:00,0,2179,2179
2023-11-03 17:15:00,0,1893,1893
2023-11-03 17:20:00,0,1918,1918
2023-11-03 17:25:00,0,440,440
2023-11-03 17:30:00,0,485,485
2023-11-03 17:35:00,0,482,482
2023-11-03 17:40:00,0,535,535
2023-11-03 17:45:00,0,729,729
2023-11-03 17:50:00,0,490,490
2023-11-03 17:55:00,0,1923,1923
2023-11-03 18:00:00,0,1941,1941
2023-11-03 18:05:00,0,1911,1911
2023-11-03 18:10:00,0,2183,2183
2023-11-03 18:15:00,0,2203,2203
2023-11-03 18:20:00,0,2368,2368
2023-11-03 18:25:00,0,2109,2109
2023-11-03 18:30:00,0,2116,2116
2023-11-03 18:35:00,0,2108,2108
2023-11-03 18:40:00,0,2111,2111
2023-11-03 18:45:00,0,2062,2062
2023-11-03 18:50:00,0,2262,2262
2023-11-03 18:55:00,0,2079,2079
2023-11-03 19:00:00,0,2453,2453
2023-11-03 19:05:00,0,2953,2953
2023-11-03 19:10:00,0,2574,2574
2023-11-03 19:15:00,0,2535,2535
2023-11-03 19:20:00,0,5191,5191
2023-11-03 19:25:00,0,5225,5225
2023-11-03 19:30:00,0,5278,5278
2023-11-03 19:35:00,0,5513,5513
2023-11-03 19:40:00,0,2827,2827
2023-11-03 19:45:00,0,2882,2882
2023-11-03 19:50:00,0,2883,2883
2023-11-03 19:55:00,0,2883,2883
2023-11-03 20:00:00,0,2883,2883
2023-11-03 20:05:00,0,2883,2883
2023-11-03 20:10:00,0,2883,2883
2023-11-03 20:15:00,0,2883,2883
2023-11-03 20:20:00,0,2883,2883
2023-11-03 20:25:00,0,2883,2883
2023-10-15 20:30:00,--,--,--
2023-10-15 20:35:00,--,--,--
2023-10-15 20:40:00,--,--,--
2023-10-15 20:45:00,--,--,--
2023-10-15 20:50:00,--,--,--
2023-10-15 20:55:00,--,--,--
2023-10-15 21:00:00,--,--,--
2023-10-15 21:05:00,--,--,--
2023-10-15 21:10:00,--,--,--
2023-10-15 21:15:00,--,--,--
2023-10-15 21:20:00,--,--,--
2023-10-15 21:25:00,--,--,--
2023-10-15 21:30:00,--,--,--
