Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-10-08 00:00:00,0,662,662
2023-10-08 00:05:00,0,443,443
2023-10-08 00:10:00,0,432,432
2023-10-08 00:15:00,0,431,431
2023-10-08 00:20:00,0,427,427
2023-10-08 00:25:00,0,428,428
2023-10-08 00:30:00,0,423,423
2023-10-08 00:35:00,0,431,431
2023-10-08 00:40:00,0,430,430
2023-10-08 00:45:00,0,431,431
2023-10-08 00:50:00,0,433,433
2023-10-08 00:55:00,0,429,429
2023-10-08 01:00:00,0,438,438
2023-10-08 01:05:00,0,469,469
2023-10-08 01:10:00,0,401,401
2023-10-08 01:15:00,0,375,375
2023-10-08 01:20:00,0,437,437
2023-10-08 01:25:00,0,447,447
2023-10-08 01:30:00,0,387,387
2023-10-08 01:35:00,0,276,276
2023-10-08 01:40:00,0,275,275
2023-10-08 01:45:00,0,276,276
2023-10-08 01:50:00,0,358,358
2023-10-08 01:55:00,0,364,364
2023-10-08 02:00:00,0,266,266
2023-10-08 02:05:00,0,272,272
2023-10-08 02:10:00,0,314,314
2023-10-08 02:15:00,0,376,376
2023-10-08 02:20:00,0,402,402
2023-10-08 02:25:00,0,390,390
2023-10-08 02:30:00,0,396,396
2023-10-08 02:35:00,0,276,276
2023-10-08 02:40:00,0,284,284
2023-10-08 02:45:00,0,339,339
2023-10-08 02:50:00,0,595,595
2023-10-08 02:55:00,0,368,368
2023-10-08 03:00:00,0,277,277
2023-10-08 03:05:00,0,488,488
2023-10-08 03:10:00,0,373,373
2023-10-08 03:15:00,0,384,384
2023-10-08 03:20:00,0,418,418
2023-10-08 03:25:00,0,392,392
2023-10-08 03:30:00,0,400,400
2023-10-08 03:35:00,0,481,481
2023-10-08 03:40:00,0,272,272
2023-10-08 03:45:00,0,511,511
2023-10-08 03:50:00,0,585,585
2023-10-08 03:55:00,0,602,602
2023-10-08 04:00:00,0,274,274
2023-10-08 04:05:00,0,278,278
2023-10-08 04:10:00,0,342,342
2023-10-08 04:15:00,0,365,365
2023-10-08 04:20:00,0,398,398
2023-10-08 04:25:00,0,394,394
2023-10-08 04:30:00,0,395,395
2023-10-08 04:35:00,0,257,257
2023-10-08 04:40:00,0,268,268
2023-10-08 04:45:00,0,263,263
2023-10-08 04:50:00,0,350,350
2023-10-08 04:55:00,0,358,358
2023-10-08 05:00:00,0,269,269
2023-10-08 05:05:00,0,261,261
2023-10-08 05:10:00,0,280,280
2023-10-08 05:15:00,0,349,349
2023-10-08 05:20:00,0,366,366
2023-10-08 05:25:00,0,377,377
2023-10-08 05:30:00,0,412,412
2023-10-08 05:35:00,0,386,386
2023-10-08 05:40:00,0,384,384
2023-10-08 05:45:00,0,259,259
2023-10-08 05:50:00,0,266,266
2023-10-08 05:55:00,0,353,353
2023-10-08 06:00:00,0,381,381
2023-10-08 06:05:00,0,502,502
2023-10-08 06:10:00,0,288,288
2023-10-08 06:15:00,0,280,280
2023-10-08 06:20:00,0,371,371
2023-10-08 06:25:00,0,595,595
2023-10-08 06:30:00,0,288,288
2023-10-08 06:35:00,0,275,275
2023-10-08 06:40:00,0,371,371
2023-10-08 06:45:00,0,391,391
2023-10-08 06:50:00,0,393,393
2023-10-08 06:55:00,0,384,384
2023-10-08 07:00:00,0,275,275
2023-10-08 07:05:00,0,277,277
2023-10-08 07:10:00,0,282,282
2023-10-08 07:15:00,0,366,366
2023-10-08 07:20:00,0,383,383
2023-10-08 07:25:00,0,274,274
2023-10-08 07:30:00,0,274,274
2023-10-08 07:35:00,0,293,293
2023-10-08 07:40:00,0,361,361
2023-10-08 07:45:00,0,401,401
2023-10-08 07:50:00,0,407,407
2023-10-08 07:55:00,0,391,391
2023-10-08 08:00:00,141,261,402
2023-10-08 08:05:00,214,75,289
2023-10-08 08:10:00,257,32,289
