Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-11-13 00:00:00,0,1867,1867
2023-11-13 00:05:00,0,1851,1851
2023-11-13 00:10:00,0,257,257
2023-11-13 00:15:00,0,317,317
2023-11-13 00:20:00,0,317,317
2023-11-13 00:25:00,0,316,316
2023-11-13 00:30:00,0,312,312
2023-11-13 00:35:00,0,518,518
2023-11-13 00:40:00,0,303,303
2023-11-13 00:45:00,0,1728,1728
2023-11-13 00:50:00,0,1750,1750
2023-11-13 00:55:00,0,1875,1875
2023-11-13 01:00:00,0,311,311
2023-11-13 01:05:00,0,301,301
2023-11-13 01:10:00,0,322,322
2023-11-13 01:15:00,0,308,308
2023-11-13 01:20:00,0,307,307
2023-11-13 01:25:00,0,299,299
2023-11-13 01:30:00,0,253,253
2023-11-13 01:35:00,0,242,242
2023-11-13 01:40:00,0,302,302
2023-11-13 01:45:00,0,1775,1775
2023-11-13 01:50:00,0,1824,1824
2023-11-13 01:55:00,0,1897,1897
2023-11-13 02:00:00,0,305,305
2023-11-13 02:05:00,0,305,305
2023-11-13 02:10:00,0,276,276
2023-11-13 02:15:00,0,245,245
2023-11-13 02:20:00,0,252,252
2023-11-13 02:25:00,0,301,301
2023-11-13 02:30:00,0,1846,1846
2023-11-13 02:35:00,0,1887,1887
2023-11-13 02:40:00,0,325,325
2023-11-13 02:45:00,0,308,308
2023-11-13 02:50:00,0,303,303
2023-11-13 02:55:00,0,447,447
2023-11-13 03:00:00,0,263,263
2023-11-13 03:05:00,0,295,295
2023-11-13 03:10:00,0,326,326
2023-11-13 03:15:00,0,1981,1981
2023-11-13 03:20:00,0,2008,2008
2023-11-13 03:25:00,0,1887,1887
2023-11-13 03:30:00,0,309,309
2023-11-13 03:35:00,0,235,235
2023-11-13 03:40:00,0,259,259
2023-11-13 03:45:00,0,310,310
2023-11-13 03:50:00,0,298,298
2023-11-13 03:55:00,0,288,288
2023-11-13 04:00:00,0,1801,1801
2023-11-13 04:05:00,0,1858,1858
2023-11-13 04:10:00,0,1858,1858
2023-11-13 04:15:00,0,242,242
2023-11-13 04:20:00,0,260,260
2023-11-13 04:25:00,0,288,288
2023-11-13 04:30:00,0,305,305
2023-11-13 04:35:00,0,291,291
2023-11-13 04:40:00,0,316,316
2023-11-13 04:45:00,0,1763,1763
2023-11-13 04:50:00,0,1726,1726
2023-11-13 04:55:00,0,1789,1789
2023-11-13 05:00:00,0,1903,1903
2023-11-13 05:05:00,0,287,287
2023-11-13 05:10:00,0,320,320
2023-11-13 05:15:00,0,299,299
2023-11-13 05:20:00,0,300,300
2023-11-13 05:25:00,0,225,225
2023-11-13 05:30:00,0,233,233
2023-11-13 05:35:00,0,1813,1813
2023-11-13 05:40:00,0,1915,1915
2023-11-13 05:45:00,0,292,292
2023-11-13 05:50:00,0,298,298
2023-11-13 05:55:00,0,285,285
2023-11-13 06:00:00,0,231,231
2023-11-13 06:05:00,0,448,448
2023-11-13 06:10:00,0,466,466
2023-11-13 06:15:00,0,1768,1768
2023-11-13 06:20:00,0,1799,1799
2023-11-13 06:25:00,0,2048,2048
2023-11-13 06:30:00,0,1885,1885
2023-11-13 06:35:00,0,310,310
2023-11-13 06:40:00,0,455,455
2023-11-13 06:45:00,0,246,246
2023-11-13 06:50:00,0,296,296
2023-11-13 06:55:00,0,526,526
2023-11-13 07:00:00,0,311,311
2023-11-13 07:05:00,0,555,555
2023-11-13 07:10:00,0,309,309
2023-11-13 07:15:00,0,2011,2011
2023-11-13 07:20:00,0,2227,2227
2023-11-13 07:25:00,0,3058,3058
2023-11-13 07:30:00,0,2190,2190
2023-11-13 07:35:00,0,2360,2360
2023-11-13 07:40:00,0,2457,2457
2023-11-13 07:45:00,0,2472,2472
2023-11-13 07:50:00,0,2511,2511
2023-11-13 07:55:00,0,2568,2568
2023-11-13 08:00:00,0,2639,2639
2023-11-13 08:05:00,0,2661,2661
2023-11-13 08:10:00,166,2751,2917
2023-11-13 08:15:00,129,2549,2678
2023-11-13 08:20:00,136,2532,2668
2023-11-13 08:25:00,143,2353,2496
2023-11-13 08:30:00,192,2444,2636
2023-11-13 08:35:00,265,2072,2337
2023-11-13 08:40:00,220,2084,2304
2023-11-13 08:45:00,273,8785,9058
2023-11-13 08:50:00,300,5025,5325
2023-11-13 08:55:00,396,4777,5173
2023-11-13 09:00:00,579,4909,5488
2023-11-13 09:05:00,458,5102,5560
2023-11-13 09:10:00,671,7124,7795
2023-11-13 09:15:00,689,5073,5762
2023-11-13 09:20:00,738,7097,7835
2023-11-13 09:25:00,851,5029,5880
2023-11-13 09:30:00,626,4930,5556
2023-11-13 09:35:00,709,4902,5611
2023-11-13 09:40:00,812,2858,3670
2023-11-13 09:45:00,873,2597,3470
2023-11-13 09:50:00,711,2731,3442
2023-11-13 09:55:00,528,3128,3656
2023-11-13 10:00:00,609,2801,3410
2023-11-13 10:05:00,668,2665,3333
2023-11-13 10:10:00,708,4077,4785
2023-11-13 10:15:00,699,4056,4755
2023-11-13 10:20:00,732,4124,4856
2023-11-13 10:25:00,975,4060,5035
2023-11-13 10:30:00,1354,3478,4832
2023-11-13 10:35:00,1585,3444,5029
2023-11-13 10:40:00,1899,233,2132
2023-11-13 10:45:00,2319,-1717,602
2023-11-13 10:50:00,2482,-1667,815
2023-11-13 10:55:00,2706,-2109,597
2023-11-13 11:00:00,3055,-2473,582
2023-11-13 11:05:00,2795,-2155,640
2023-11-13 11:10:00,2632,-1942,690
2023-11-13 11:15:00,1936,-1319,617
2023-11-13 11:20:00,2606,-1759,847
2023-11-13 11:25:00,2510,-1816,694
2023-11-13 11:30:00,4650,-3080,1570
2023-11-13 11:35:00,6142,-4308,1834
2023-11-13 11:40:00,5481,-4061,1420
2023-11-13 11:45:00,6389,-5631,758
2023-11-13 11:50:00,4094,-3355,739
2023-11-13 11:55:00,3845,-1872,1973
2023-11-13 12:00:00,5188,-4574,614
2023-11-13 12:05:00,4008,-3347,661
2023-11-13 12:10:00,4291,-2755,1536
2023-11-13 12:15:00,3978,-3513,465
2023-11-13 12:20:00,5576,-4879,697
2023-11-13 12:25:00,5134,-4188,946
2023-11-13 12:30:00,5008,-4098,910
2023-11-13 12:35:00,5166,-4462,704
2023-11-13 12:40:00,5333,-4629,704
2023-11-13 12:45:00,4948,-4290,658
2023-11-13 12:50:00,5236,-4643,593
2023-11-13 12:55:00,4308,-3444,864
2023-11-13 13:00:00,3663,-2976,687
2023-11-13 13:05:00,2353,-1901,452
2023-11-13 13:10:00,2573,-124,2449
2023-11-13 13:15:00,2500,-2003,497
2023-11-13 13:20:00,2836,-2316,520
2023-11-13 13:25:00,2676,-2004,672
2023-11-13 13:30:00,3919,-3522,397
2023-11-13 13:35:00,3723,-3126,597
2023-11-13 13:40:00,2303,-1402,901
2023-11-13 13:45:00,3585,-103,3482
2023-11-13 13:50:00,3945,-478,3467
2023-11-13 13:55:00,2869,297,3166
2023-11-13 14:00:00,1955,1525,3480
2023-11-13 14:05:00,1732,-1291,441
2023-11-13 14:10:00,1565,-871,694
2023-11-13 14:15:00,1652,-1178,474
2023-11-13 14:20:00,1742,-1045,697
2023-11-13 14:25:00,1570,-868,702
2023-11-13 14:30:00,1340,-874,466
2023-11-13 14:35:00,964,-479,485
2023-11-13 14:40:00,795,-311,484
2023-11-13 14:45:00,637,-82,555
2023-11-13 14:50:00,553,-216,337
2023-11-13 14:55:00,421,0,421
2023-11-13 15:00:00,338,-43,295
2023-11-13 15:05:00,507,-218,289
2023-11-13 15:10:00,627,-69,558
2023-11-13 15:15:00,905,-553,352
2023-11-13 15:20:00,804,-449,355
2023-11-13 15:25:00,777,-426,351
2023-11-13 15:30:00,750,-192,558
2023-11-13 15:35:00,831,-265,566
2023-11-13 15:40:00,844,-278,566
2023-11-13 15:45:00,763,-258,505
2023-11-13 15:50:00,647,-157,490
2023-11-13 15:55:00,610,141,751
2023-11-13 16:00:00,527,43,570
2023-11-13 16:05:00,440,146,586
2023-11-13 16:10:00,377,193,570
2023-11-13 16:15:00,294,4094,4388
2023-11-13 16:20:00,184,528,712
2023-11-13 16:25:00,142,618,760
2023-11-13 16:30:00,105,589,694
2023-11-13 16:35:00,52,618,670
2023-11-13 16:40:00,11,881,892
2023-11-13 16:45:00,1,1195,1196
2023-11-13 16:50:00,0,2422,2422
2023-11-13 16:55:00,0,1815,1815
2023-11-13 17:00:00,0,2156,2156
2023-11-13 17:05:00,0,1432,1432
2023-11-13 17:10:00,0,1170,1170
2023-11-13 17:15:00,0,1449,1449
2023-11-13 17:20:00,0,4214,4214
2023-11-13 17:25:00,0,4119,4119
2023-11-13 17:30:00,0,3898,3898
2023-11-13 17:35:00,0,3916,3916
2023-11-13 17:40:00,0,1366,1366
2023-11-13 17:45:00,0,1135,1135
2023-11-13 17:50:00,0,1147,1147
2023-11-13 17:55:00,0,1185,1185
2023-11-13 18:00:00,0,1186,1186
2023-11-13 18:05:00,0,1350,1350
2023-11-13 18:10:00,0,1284,1284
2023-11-13 18:15:00,0,1128,1128
2023-11-13 18:20:00,0,2697,2697
2023-11-13 18:25:00,0,3005,3005
2023-11-13 18:30:00,0,3295,3295
2023-11-13 18:35:00,0,1476,1476
2023-11-13 18:40:00,0,1134,1134
2023-11-13 18:45:00,0,991,991
2023-11-13 18:50:00,0,1239,1239
2023-11-13 18:55:00,0,1255,1255
2023-11-13 19:00:00,0,1039,1039
2023-11-13 19:05:00,0,1125,1125
2023-11-13 19:10:00,0,2489,2489
2023-11-13 19:15:00,0,2913,2913
2023-11-13 19:20:00,0,2700,2700
2023-11-13 19:25:00,0,2359,2359
2023-11-13 19:30:00,0,2139,2139
2023-11-13 19:35:00,0,1885,1885
2023-11-13 19:40:00,0,2100,2100
2023-11-13 19:45:00,0,1877,1877
2023-11-13 19:50:00,0,1822,1822
2023-11-13 19:55:00,0,2179,2179
2023-11-13 20:00:00,0,2269,2269
2023-11-13 20:05:00,0,2471,2471
2023-11-13 20:10:00,0,3649,3649
2023-11-13 20:15:00,0,3617,3617
2023-11-13 20:20:00,0,3917,3917
2023-11-13 20:25:00,0,2171,2171
2023-11-13 20:30:00,0,2153,2153
2023-11-13 20:35:00,0,2155,2155
2023-11-13 20:40:00,0,4873,4873
2023-11-13 20:45:00,0,4841,4841
2023-11-13 20:50:00,0,4839,4839
2023-11-13 20:55:00,0,4815,4815
2023-11-13 21:00:00,0,3613,3613
2023-11-13 21:05:00,0,3576,3576
2023-11-13 21:10:00,0,3619,3619
2023-11-13 21:15:00,0,3735,3735
2023-11-13 21:20:00,0,3592,3592
2023-11-13 21:25:00,0,3612,3612
2023-11-13 21:30:00,0,3681,3681
2023-11-13 21:35:00,0,2379,2379
2023-11-13 21:40:00,0,2156,2156
2023-11-13 21:45:00,0,2086,2086
2023-11-13 21:50:00,0,2118,2118
2023-11-13 21:55:00,0,2457,2457
2023-11-13 22:00:00,0,2185,2185
2023-11-13 22:05:00,0,3616,3616
2023-11-13 22:10:00,0,3869,3869
2023-11-13 22:15:00,0,3364,3364
2023-11-13 22:20:00,0,3513,3513
2023-11-13 22:25:00,0,3458,3458
2023-11-13 22:30:00,0,3262,3262
2023-11-13 22:35:00,0,3559,3559
2023-11-13 22:40:00,0,2046,2046
2023-11-13 22:45:00,0,2028,2028
2023-11-13 22:50:00,0,1866,1866
2023-11-13 22:55:00,0,2096,2096
2023-11-13 23:00:00,0,1833,1833
2023-11-13 23:05:00,0,1802,1802
2023-11-13 23:10:00,0,1826,1826
2023-11-13 23:15:00,0,1843,1843
2023-11-13 23:20:00,0,3304,3304
2023-11-13 23:25:00,0,3358,3358
2023-11-13 23:30:00,0,1845,1845
2023-11-13 23:35:00,0,1812,1812
2023-11-13 23:40:00,0,1818,1818
2023-11-13 23:45:00,0,2022,2022
2023-11-13 23:50:00,0,1786,1786
2023-11-13 23:55:00,0,1765,1765
