Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-12-10 00:00:00,0,340,340
2023-12-10 00:05:00,0,311,311
2023-12-10 00:10:00,0,262,262
2023-12-10 00:15:00,0,317,317
2023-12-10 00:20:00,0,274,274
2023-12-10 00:25:00,0,326,326
2023-12-10 00:30:00,0,1807,1807
2023-12-10 00:35:00,0,2031,2031
2023-12-10 00:40:00,0,1838,1838
2023-12-10 00:45:00,0,1776,1776
2023-12-10 00:50:00,0,1805,1805
2023-12-10 00:55:00,0,1829,1829
2023-12-10 01:00:00,0,1855,1855
2023-12-10 01:05:00,0,1854,1854
2023-12-10 01:10:00,0,2059,2059
2023-12-10 01:15:00,0,1875,1875
2023-12-10 01:20:00,0,1892,1892
2023-12-10 01:25:00,0,2070,2070
2023-12-10 01:30:00,0,257,257
2023-12-10 01:35:00,0,222,222
2023-12-10 01:40:00,0,302,302
2023-12-10 01:45:00,0,326,326
2023-12-10 01:50:00,0,290,290
2023-12-10 01:55:00,0,323,323
2023-12-10 02:00:00,0,1758,1758
2023-12-10 02:05:00,0,1801,1801
2023-12-10 02:10:00,0,1840,1840
2023-12-10 02:15:00,0,1809,1809
2023-12-10 02:20:00,0,313,313
2023-12-10 02:25:00,0,285,285
2023-12-10 02:30:00,0,516,516
2023-12-10 02:35:00,0,316,316
2023-12-10 02:40:00,0,273,273
2023-12-10 02:45:00,0,305,305
2023-12-10 02:50:00,0,1744,1744
2023-12-10 02:55:00,0,1701,1701
2023-12-10 03:00:00,0,2085,2085
2023-12-10 03:05:00,0,1858,1858
2023-12-10 03:10:00,0,307,307
2023-12-10 03:15:00,0,288,288
2023-12-10 03:20:00,0,310,310
2023-12-10 03:25:00,0,464,464
2023-12-10 03:30:00,0,212,212
2023-12-10 03:35:00,0,469,469
2023-12-10 03:40:00,0,279,279
2023-12-10 03:45:00,0,2008,2008
2023-12-10 03:50:00,0,1806,1806
2023-12-10 03:55:00,0,1859,1859
2023-12-10 04:00:00,0,1902,1902
2023-12-10 04:05:00,0,207,207
2023-12-10 04:10:00,0,250,250
2023-12-10 04:15:00,0,299,299
2023-12-10 04:20:00,0,302,302
2023-12-10 04:25:00,0,527,527
2023-12-10 04:30:00,0,487,487
2023-12-10 04:35:00,0,304,304
2023-12-10 04:40:00,0,1948,1948
2023-12-10 04:45:00,0,1751,1751
2023-12-10 04:50:00,0,1836,1836
2023-12-10 04:55:00,0,2083,2083
2023-12-10 05:00:00,0,298,298
2023-12-10 05:05:00,0,532,532
2023-12-10 05:10:00,0,273,273
2023-12-10 05:15:00,0,293,293
2023-12-10 05:20:00,0,216,216
2023-12-10 05:25:00,0,239,239
2023-12-10 05:30:00,0,317,317
2023-12-10 05:35:00,0,1765,1765
2023-12-10 05:40:00,0,1800,1800
2023-12-10 05:45:00,0,1892,1892
2023-12-10 05:50:00,0,2108,2108
2023-12-10 05:55:00,0,242,242
2023-12-10 06:00:00,0,431,431
2023-12-10 06:05:00,0,310,310
2023-12-10 06:10:00,0,466,466
2023-12-10 06:15:00,0,313,313
2023-12-10 06:20:00,0,335,335
2023-12-10 06:25:00,0,286,286
2023-12-10 06:30:00,0,2116,2116
2023-12-10 06:35:00,0,1719,1719
2023-12-10 06:40:00,0,1788,1788
2023-12-10 06:45:00,0,1942,1942
2023-12-10 06:50:00,0,1896,1896
2023-12-10 06:55:00,0,320,320
2023-12-10 07:00:00,0,336,336
2023-12-10 07:05:00,0,390,390
2023-12-10 07:10:00,0,256,256
2023-12-10 07:15:00,0,497,497
2023-12-10 07:20:00,0,500,500
2023-12-10 07:25:00,0,336,336
2023-12-10 07:30:00,0,1987,1987
2023-12-10 07:35:00,0,1810,1810
2023-12-10 07:40:00,0,1846,1846
2023-12-10 07:45:00,0,1823,1823
2023-12-10 07:50:00,0,259,259
2023-12-10 07:55:00,0,340,340
2023-12-10 08:00:00,0,383,383
2023-12-10 08:05:00,0,318,318
2023-12-10 08:10:00,0,286,286
2023-12-10 08:15:00,0,641,641
2023-12-10 08:20:00,0,458,458
2023-12-10 08:25:00,0,477,477
2023-12-10 08:30:00,0,2003,2003
2023-12-10 08:35:00,0,1772,1772
2023-12-10 08:40:00,0,9184,9184
2023-12-10 08:45:00,0,8562,8562
2023-12-10 08:50:00,0,3288,3288
2023-12-10 08:55:00,43,3253,3296
