Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-07-03 00:00:00,0,339,339
2023-07-03 00:05:00,0,314,314
2023-07-03 00:10:00,0,251,251
2023-07-03 00:15:00,0,244,244
2023-07-03 00:20:00,0,266,266
2023-07-03 00:25:00,0,296,296
2023-07-03 00:30:00,0,312,312
2023-07-03 00:35:00,0,294,294
2023-07-03 00:40:00,0,312,312
2023-07-03 00:45:00,0,293,293
2023-07-03 00:50:00,0,247,247
2023-07-03 00:55:00,0,237,237
2023-07-03 01:00:00,0,290,290
2023-07-03 01:05:00,0,297,297
2023-07-03 01:10:00,0,305,305
2023-07-03 01:15:00,0,297,297
2023-07-03 01:20:00,0,316,316
2023-07-03 01:25:00,0,237,237
2023-07-03 01:30:00,0,245,245
2023-07-03 01:35:00,0,240,240
2023-07-03 01:40:00,0,308,308
2023-07-03 01:45:00,0,296,296
2023-07-03 01:50:00,0,309,309
2023-07-03 01:55:00,0,304,304
2023-07-03 02:00:00,0,529,529
2023-07-03 02:05:00,0,248,248
2023-07-03 02:10:00,0,248,248
2023-07-03 02:15:00,0,267,267
2023-07-03 02:20:00,0,314,314
2023-07-03 02:25:00,0,306,306
2023-07-03 02:30:00,0,308,308
2023-07-03 02:35:00,0,292,292
2023-07-03 02:40:00,0,261,261
2023-07-03 02:45:00,0,236,236
2023-07-03 02:50:00,0,253,253
2023-07-03 02:55:00,0,298,298
2023-07-03 03:00:00,0,524,524
2023-07-03 03:05:00,0,297,297
2023-07-03 03:10:00,0,307,307
2023-07-03 03:15:00,0,303,303
2023-07-03 03:20:00,0,245,245
2023-07-03 03:25:00,0,234,234
2023-07-03 03:30:00,0,292,292
2023-07-03 03:35:00,0,301,301
2023-07-03 03:40:00,0,526,526
2023-07-03 03:45:00,0,303,303
2023-07-03 03:50:00,0,306,306
2023-07-03 03:55:00,0,236,236
2023-07-03 04:00:00,0,251,251
2023-07-03 04:05:00,0,244,244
2023-07-03 04:10:00,0,303,303
2023-07-03 04:15:00,0,295,295
2023-07-03 04:20:00,0,307,307
2023-07-03 04:25:00,0,297,297
2023-07-03 04:30:00,0,303,303
2023-07-03 04:35:00,0,241,241
2023-07-03 04:40:00,0,235,235
2023-07-03 04:45:00,0,285,285
2023-07-03 04:50:00,0,294,294
2023-07-03 04:55:00,0,297,297
2023-07-03 05:00:00,0,299,299
2023-07-03 05:05:00,0,294,294
2023-07-03 05:10:00,0,465,465
2023-07-03 05:15:00,0,231,231
2023-07-03 05:20:00,0,240,240
2023-07-03 05:25:00,0,287,287
2023-07-03 05:30:00,0,291,291
2023-07-03 05:35:00,0,288,288
2023-07-03 05:40:00,0,293,293
2023-07-03 05:45:00,0,507,507
2023-07-03 05:50:00,0,229,229
2023-07-03 05:55:00,0,230,230
2023-07-03 06:00:00,0,270,270
2023-07-03 06:05:00,107,190,297
2023-07-03 06:10:00,183,133,316
2023-07-03 06:15:00,248,66,314
2023-07-03 06:20:00,300,12,312
2023-07-03 06:25:00,368,-112,256
2023-07-03 06:30:00,375,-128,247
2023-07-03 06:35:00,492,-223,269
2023-07-03 06:40:00,485,-183,302
2023-07-03 06:45:00,557,-250,307
2023-07-03 06:50:00,530,-223,307
2023-07-03 06:55:00,588,-278,310
2023-07-03 07:00:00,691,-393,298
2023-07-03 07:05:00,773,-531,242
2023-07-03 07:10:00,847,-602,245
2023-07-03 07:15:00,987,-676,311
2023-07-03 07:20:00,1031,-727,304
2023-07-03 07:25:00,1127,-792,335
2023-07-03 07:30:00,1105,-791,314
2023-07-03 07:35:00,1234,-936,298
2023-07-03 07:40:00,1099,-802,297
2023-07-03 07:45:00,1234,-1005,229
2023-07-03 07:50:00,1359,-1119,240
2023-07-03 07:55:00,1171,-880,291
2023-07-03 08:00:00,1397,-1104,293
2023-07-03 08:05:00,1375,-1085,290
2023-07-03 08:10:00,1641,-1064,577
2023-07-03 08:15:00,1745,-1184,561
2023-07-03 08:20:00,1921,2451,4372
2023-07-03 08:25:00,2234,1180,3414
2023-07-03 08:30:00,2430,1030,3460
2023-07-03 08:35:00,2050,1437,3487
2023-07-03 08:40:00,1856,1435,3291
2023-07-03 08:45:00,2112,1500,3612
2023-07-03 08:50:00,2124,1345,3469
2023-07-03 08:55:00,2206,2071,4277
2023-07-03 09:00:00,2401,1014,3415
2023-07-03 09:05:00,2543,893,3436
2023-07-03 09:10:00,2873,452,3325
2023-07-03 09:15:00,3570,-132,3438
2023-07-03 09:20:00,3129,304,3433
2023-07-03 09:25:00,3048,-2190,858
2023-07-03 09:30:00,2965,-2220,745
2023-07-03 09:35:00,3129,-2261,868
2023-07-03 09:40:00,3586,-1461,2125
2023-07-03 09:45:00,3251,-1168,2083
2023-07-03 09:50:00,3189,-1152,2037
2023-07-03 09:55:00,3024,-665,2359
2023-07-03 10:00:00,3066,-676,2390
2023-07-03 10:05:00,3190,-2276,914
2023-07-03 10:10:00,3484,-2921,563
2023-07-03 10:15:00,3659,-2980,679
2023-07-03 10:20:00,3533,-2876,657
2023-07-03 10:25:00,3564,-834,2730
2023-07-03 10:30:00,3603,-2929,674
2023-07-03 10:35:00,3412,-2727,685
2023-07-03 10:40:00,3598,-2717,881
2023-07-03 10:45:00,3280,-2636,644
2023-07-03 10:50:00,3350,-2743,607
2023-07-03 10:55:00,3374,-2501,873
2023-07-03 11:00:00,3864,-3353,511
2023-07-03 11:05:00,4371,-3802,569
2023-07-03 11:10:00,4186,-3635,551
2023-07-03 11:15:00,5745,-3071,2674
2023-07-03 11:20:00,9428,-8768,660
2023-07-03 11:25:00,8175,-8889,-714
2023-07-03 11:30:00,9218,-5132,4086
2023-07-03 11:35:00,9984,-5517,4467
2023-07-03 11:40:00,9474,-8904,570
2023-07-03 11:45:00,9483,-8972,511
2023-07-03 11:50:00,9580,-9148,432
2023-07-03 11:55:00,9575,-8779,796
2023-07-03 12:00:00,9666,-8924,742
2023-07-03 12:05:00,9737,-9106,631
2023-07-03 12:10:00,9728,-9079,649
2023-07-03 12:15:00,9748,-9108,640
2023-07-03 12:20:00,9852,-5360,4492
2023-07-03 12:25:00,9875,-8098,1777
2023-07-03 12:30:00,9928,-6229,3699
2023-07-03 12:35:00,10021,-7259,2762
2023-07-03 12:40:00,10057,-7093,2964
2023-07-03 12:45:00,10050,-8535,1515
2023-07-03 12:50:00,10011,-9187,824
2023-07-03 12:55:00,9996,-9034,962
2023-07-03 13:00:00,10012,-9291,721
2023-07-03 13:05:00,10034,-9313,721
2023-07-03 13:10:00,10029,-9306,723
2023-07-03 13:15:00,10038,-9296,742
2023-07-03 13:20:00,10071,-9347,724
2023-07-03 13:25:00,10075,-9244,831
2023-07-03 13:30:00,10030,-9424,606
2023-07-03 13:35:00,10041,-9455,586
2023-07-03 13:40:00,10034,-9329,705
2023-07-03 13:45:00,9987,-9412,575
2023-07-03 13:50:00,9981,-9498,483
2023-07-03 13:55:00,9938,-9508,430
2023-07-03 14:00:00,9962,-9539,423
2023-07-03 14:05:00,9856,-9339,517
2023-07-03 14:10:00,9810,-9389,421
2023-07-03 14:15:00,9746,-9329,417
2023-07-03 14:20:00,9652,-9059,593
2023-07-03 14:25:00,9609,-9324,285
2023-07-03 14:30:00,9572,-9270,302
2023-07-03 14:35:00,9512,-9221,291
2023-07-03 14:40:00,9484,-9194,290
2023-07-03 14:45:00,9418,-9127,291
2023-07-03 14:50:00,9293,-8863,430
2023-07-03 14:55:00,9249,-8870,379
2023-07-03 15:00:00,9170,-8803,367
2023-07-03 15:05:00,9116,-8751,365
2023-07-03 15:10:00,9015,-8482,533
2023-07-03 15:15:00,8901,-8688,213
2023-07-03 15:20:00,8829,-7903,926
2023-07-03 15:25:00,8621,-7760,861
2023-07-03 15:30:00,8675,-8072,603
2023-07-03 15:35:00,8642,-8369,273
2023-07-03 15:40:00,8585,-8255,330
2023-07-03 15:45:00,8401,-8073,328
2023-07-03 15:50:00,8213,-7709,504
2023-07-03 15:55:00,8033,-7529,504
2023-07-03 16:00:00,7949,-7522,427
2023-07-03 16:05:00,7731,-7311,420
2023-07-03 16:10:00,7525,-7107,418
2023-07-03 16:15:00,7501,-6963,538
2023-07-03 16:20:00,7406,-6891,515
2023-07-03 16:25:00,7416,-6692,724
2023-07-03 16:30:00,7168,-6459,709
2023-07-03 16:35:00,6999,-6286,713
2023-07-03 16:40:00,6812,-6394,418
2023-07-03 16:45:00,6831,-6391,440
2023-07-03 16:50:00,6570,-6020,550
2023-07-03 16:55:00,6863,-6452,411
2023-07-03 17:00:00,6864,-6443,421
2023-07-03 17:05:00,3552,-3486,66
2023-07-03 17:10:00,6632,-6235,397
2023-07-03 17:15:00,5948,-5127,821
2023-07-03 17:20:00,2083,-1388,695
2023-07-03 17:25:00,1746,-1064,682
2023-07-03 17:30:00,1911,-821,1090
2023-07-03 17:35:00,2626,-1964,662
2023-07-03 17:40:00,5748,-1658,4090
2023-07-03 17:45:00,5370,-2615,2755
2023-07-03 17:50:00,4598,-2454,2144
2023-07-03 17:55:00,4373,-2216,2157
2023-07-03 18:00:00,4382,-1553,2829
2023-07-03 18:05:00,4368,-3693,675
2023-07-03 18:10:00,4188,-1558,2630
2023-07-03 18:15:00,1868,874,2742
2023-07-03 18:20:00,1492,-531,961
2023-07-03 18:25:00,3189,-2123,1066
2023-07-03 18:30:00,1264,-526,738
2023-07-03 18:35:00,1376,1132,2508
2023-07-03 18:40:00,1581,1192,2773
2023-07-03 18:45:00,2873,0,2873
2023-07-03 18:50:00,2518,92,2610
2023-07-03 18:55:00,2240,424,2664
2023-07-03 19:00:00,2101,725,2826
2023-07-03 19:05:00,1996,896,2892
2023-07-03 19:10:00,2047,997,3044
2023-07-03 19:15:00,1529,1920,3449
2023-07-03 19:20:00,1461,1458,2919
2023-07-03 19:25:00,1206,1962,3168
2023-07-03 19:30:00,1503,1763,3266
2023-07-03 19:35:00,990,2364,3354
2023-07-03 19:40:00,900,-88,812
2023-07-03 19:45:00,1032,-404,628
2023-07-03 19:50:00,1022,-421,601
2023-07-03 19:55:00,953,-335,618
2023-07-03 20:00:00,957,-134,823
2023-07-03 20:05:00,793,19,812
2023-07-03 20:10:00,700,98,798
2023-07-03 20:15:00,726,-135,591
2023-07-03 20:20:00,639,-54,585
2023-07-03 20:25:00,476,271,747
2023-07-03 20:30:00,346,117,463
2023-07-03 20:35:00,178,595,773
2023-07-03 20:40:00,147,590,737
2023-07-03 20:45:00,136,391,527
2023-07-03 20:50:00,115,432,547
2023-07-03 20:55:00,101,434,535
2023-07-03 21:00:00,72,453,525
2023-07-03 21:05:00,52,474,526
2023-07-03 21:10:00,34,845,879
2023-07-03 21:15:00,15,964,979
2023-07-03 21:20:00,4,758,762
2023-07-03 21:25:00,0,829,829
2023-07-03 21:30:00,0,841,841
2023-07-03 21:35:00,0,847,847
