Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-09-16 00:00:00,0,294,294
2023-09-16 00:05:00,0,310,310
2023-09-16 00:10:00,0,342,342
2023-09-16 00:15:00,0,352,352
2023-09-16 00:20:00,0,349,349
2023-09-16 00:25:00,0,345,345
2023-09-16 00:30:00,0,343,343
2023-09-16 00:35:00,0,340,340
2023-09-16 00:40:00,0,341,341
2023-09-16 00:45:00,0,293,293
2023-09-16 00:50:00,0,614,614
2023-09-16 00:55:00,0,618,618
2023-09-16 01:00:00,0,619,619
2023-09-16 01:05:00,0,311,311
2023-09-16 01:10:00,0,279,279
2023-09-16 01:15:00,0,376,376
2023-09-16 01:20:00,0,376,376
2023-09-16 01:25:00,0,374,374
2023-09-16 01:30:00,0,374,374
2023-09-16 01:35:00,0,371,371
2023-09-16 01:40:00,0,371,371
2023-09-16 01:45:00,0,360,360
2023-09-16 01:50:00,0,363,363
2023-09-16 01:55:00,0,270,270
2023-09-16 02:00:00,0,281,281
2023-09-16 02:05:00,0,315,315
2023-09-16 02:10:00,0,346,346
2023-09-16 02:15:00,0,347,347
2023-09-16 02:20:00,0,358,358
2023-09-16 02:25:00,0,342,342
2023-09-16 02:30:00,0,344,344
2023-09-16 02:35:00,0,334,334
2023-09-16 02:40:00,0,382,382
2023-09-16 02:45:00,0,280,280
2023-09-16 02:50:00,0,270,270
2023-09-16 02:55:00,0,317,317
2023-09-16 03:00:00,0,342,342
2023-09-16 03:05:00,0,343,343
2023-09-16 03:10:00,0,556,556
2023-09-16 03:15:00,0,350,350
2023-09-16 03:20:00,0,343,343
2023-09-16 03:25:00,0,333,333
2023-09-16 03:30:00,0,274,274
2023-09-16 03:35:00,0,275,275
2023-09-16 03:40:00,0,305,305
2023-09-16 03:45:00,0,345,345
2023-09-16 03:50:00,0,349,349
2023-09-16 03:55:00,0,353,353
2023-09-16 04:00:00,0,341,341
2023-09-16 04:05:00,0,334,334
2023-09-16 04:10:00,0,515,515
2023-09-16 04:15:00,0,276,276
2023-09-16 04:20:00,0,283,283
2023-09-16 04:25:00,0,328,328
2023-09-16 04:30:00,0,569,569
2023-09-16 04:35:00,0,346,346
2023-09-16 04:40:00,0,337,337
2023-09-16 04:45:00,0,338,338
2023-09-16 04:50:00,0,344,344
2023-09-16 04:55:00,0,275,275
2023-09-16 05:00:00,0,274,274
2023-09-16 05:05:00,0,306,306
2023-09-16 05:10:00,0,344,344
2023-09-16 05:15:00,0,560,560
2023-09-16 05:20:00,0,349,349
2023-09-16 05:25:00,0,338,338
2023-09-16 05:30:00,0,555,555
2023-09-16 05:35:00,0,292,292
2023-09-16 05:40:00,0,278,278
2023-09-16 05:45:00,0,297,297
2023-09-16 05:50:00,0,335,335
2023-09-16 05:55:00,0,352,352
2023-09-16 06:00:00,0,342,342
2023-09-16 06:05:00,0,369,369
