Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-10-23 00:00:00,0,284,284
2023-10-23 00:05:00,0,515,515
2023-10-23 00:10:00,0,279,279
2023-10-23 00:15:00,0,484,484
2023-10-23 00:20:00,0,433,433
2023-10-23 00:25:00,0,218,218
2023-10-23 00:30:00,0,1642,1642
2023-10-23 00:35:00,0,1722,1722
2023-10-23 00:40:00,0,1746,1746
2023-10-23 00:45:00,0,2013,2013
2023-10-23 00:50:00,0,219,219
2023-10-23 00:55:00,0,434,434
2023-10-23 01:00:00,0,482,482
2023-10-23 01:05:00,0,491,491
2023-10-23 01:10:00,0,285,285
2023-10-23 01:15:00,0,282,282
2023-10-23 01:20:00,0,431,431
2023-10-23 01:25:00,0,434,434
2023-10-23 01:30:00,0,419,419
2023-10-23 01:35:00,0,278,278
2023-10-23 01:40:00,0,283,283
2023-10-23 01:45:00,0,279,279
2023-10-23 01:50:00,0,427,427
2023-10-23 01:55:00,0,431,431
2023-10-23 02:00:00,0,1662,1662
2023-10-23 02:05:00,0,1756,1756
2023-10-23 02:10:00,0,1769,1769
2023-10-23 02:15:00,0,1776,1776
2023-10-23 02:20:00,0,221,221
2023-10-23 02:25:00,0,436,436
2023-10-23 02:30:00,0,231,231
2023-10-23 02:35:00,0,498,498
2023-10-23 02:40:00,0,486,486
2023-10-23 02:45:00,0,282,282
2023-10-23 02:50:00,0,440,440
2023-10-23 02:55:00,0,215,215
2023-10-23 03:00:00,0,220,220
2023-10-23 03:05:00,0,493,493
2023-10-23 03:10:00,0,494,494
2023-10-23 03:15:00,0,282,282
2023-10-23 03:20:00,0,217,217
2023-10-23 03:25:00,0,215,215
2023-10-23 03:30:00,0,435,435
2023-10-23 03:35:00,0,276,276
2023-10-23 03:40:00,0,496,496
2023-10-23 03:45:00,0,285,285
2023-10-23 03:50:00,0,495,495
2023-10-23 03:55:00,0,216,216
2023-10-23 04:00:00,0,1850,1850
2023-10-23 04:05:00,0,1932,1932
2023-10-23 04:10:00,0,1789,1789
2023-10-23 04:15:00,0,1776,1776
2023-10-23 04:20:00,0,1778,1778
2023-10-23 04:25:00,0,223,223
2023-10-23 04:30:00,0,229,229
2023-10-23 04:35:00,0,477,477
2023-10-23 04:40:00,0,503,503
2023-10-23 04:45:00,0,273,273
2023-10-23 04:50:00,0,286,286
2023-10-23 04:55:00,0,435,435
2023-10-23 05:00:00,0,234,234
2023-10-23 05:05:00,0,263,263
2023-10-23 05:10:00,0,284,284
2023-10-23 05:15:00,0,281,281
2023-10-23 05:20:00,0,293,293
2023-10-23 05:25:00,0,429,429
2023-10-23 05:30:00,0,438,438
2023-10-23 05:35:00,0,245,245
2023-10-23 05:40:00,0,490,490
2023-10-23 05:45:00,0,277,277
2023-10-23 05:50:00,0,288,288
2023-10-23 05:55:00,0,429,429
2023-10-23 06:00:00,0,232,232
2023-10-23 06:05:00,0,243,243
2023-10-23 06:10:00,0,310,310
2023-10-23 06:15:00,0,509,509
2023-10-23 06:20:00,0,306,306
2023-10-23 06:25:00,0,239,239
2023-10-23 06:30:00,0,451,451
2023-10-23 06:35:00,0,240,240
2023-10-23 06:40:00,0,513,513
2023-10-23 06:45:00,0,295,295
2023-10-23 06:50:00,0,521,521
2023-10-23 06:55:00,0,494,494
2023-10-23 07:00:00,0,1653,1653
2023-10-23 07:05:00,0,1676,1676
2023-10-23 07:10:00,0,1796,1796
2023-10-23 07:15:00,0,1989,1989
2023-10-23 07:20:00,0,1809,1809
2023-10-23 07:25:00,0,281,281
2023-10-23 07:30:00,0,452,452
2023-10-23 07:35:00,0,440,440
2023-10-23 07:40:00,0,493,493
2023-10-23 07:45:00,0,290,290
2023-10-23 07:50:00,0,300,300
2023-10-23 07:55:00,0,282,282
2023-10-23 08:00:00,0,242,242
2023-10-23 08:05:00,0,435,435
2023-10-23 08:10:00,0,490,490
2023-10-23 08:15:00,0,290,290
2023-10-23 08:20:00,0,294,294
2023-10-23 08:25:00,117,182,299
2023-10-23 08:30:00,203,263,466
2023-10-23 08:35:00,300,-53,247
2023-10-23 08:40:00,320,161,481
2023-10-23 08:45:00,334,-33,301
2023-10-23 08:50:00,358,-51,307
2023-10-23 08:55:00,423,92,515
2023-10-23 09:00:00,744,-501,243
2023-10-23 09:05:00,981,-751,230
2023-10-23 09:10:00,1284,-833,451
2023-10-23 09:15:00,1281,-995,286
2023-10-23 09:20:00,939,-638,301
2023-10-23 09:25:00,742,-455,287
2023-10-23 09:30:00,683,-229,454
2023-10-23 09:35:00,749,-304,445
2023-10-23 09:40:00,898,798,1696
2023-10-23 09:45:00,884,6048,6932
2023-10-23 09:50:00,2001,1200,3201
2023-10-23 09:55:00,1928,1261,3189
2023-10-23 10:00:00,1647,1568,3215
2023-10-23 10:05:00,1792,1589,3381
2023-10-23 10:10:00,1527,1634,3161
2023-10-23 10:15:00,1607,1610,3217
2023-10-23 10:20:00,1412,1817,3229
2023-10-23 10:25:00,1380,1877,3257
2023-10-23 10:30:00,1403,2035,3438
2023-10-23 10:35:00,1205,2185,3390
2023-10-23 10:40:00,1235,1910,3145
2023-10-23 10:45:00,1418,1969,3387
2023-10-23 10:50:00,1473,1934,3407
2023-10-23 10:55:00,1399,1800,3199
2023-10-23 11:00:00,1591,1611,3202
2023-10-23 11:05:00,1655,1481,3136
2023-10-23 11:10:00,1459,-862,597
2023-10-23 11:15:00,1457,-860,597
2023-10-23 11:20:00,1917,-1505,412
2023-10-23 11:25:00,2820,-2200,620
2023-10-23 11:30:00,1621,-1231,390
2023-10-23 11:35:00,1500,-908,592
2023-10-23 11:40:00,1478,-1122,356
2023-10-23 11:45:00,2246,-1837,409
2023-10-23 11:50:00,7298,-6719,579
2023-10-23 11:55:00,1991,-2107,-116
2023-10-23 12:00:00,1640,-1186,454
2023-10-23 12:05:00,2489,-2063,426
2023-10-23 12:10:00,2394,-2025,369
2023-10-23 12:15:00,2134,-1553,581
2023-10-23 12:20:00,1741,-1318,423
2023-10-23 12:25:00,1430,-1007,423
2023-10-23 12:30:00,1326,-675,651
2023-10-23 12:35:00,1603,-1181,422
2023-10-23 12:40:00,2176,-1823,353
