Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-10-09 00:00:00,0,360,360
2023-10-09 00:05:00,0,399,399
2023-10-09 00:10:00,0,416,416
2023-10-09 00:15:00,0,411,411
2023-10-09 00:20:00,0,405,405
2023-10-09 00:25:00,0,2112,2112
2023-10-09 00:30:00,0,2394,2394
2023-10-09 00:35:00,0,2094,2094
2023-10-09 00:40:00,0,2145,2145
2023-10-09 00:45:00,0,2247,2247
2023-10-09 00:50:00,0,2316,2316
2023-10-09 00:55:00,0,2297,2297
2023-10-09 01:00:00,0,2322,2322
2023-10-09 01:05:00,0,2378,2378
2023-10-09 01:10:00,0,2341,2341
2023-10-09 01:15:00,0,2394,2394
2023-10-09 01:20:00,0,2447,2447
2023-10-09 01:25:00,0,2527,2527
2023-10-09 01:30:00,0,2550,2550
2023-10-09 01:35:00,0,2588,2588
2023-10-09 01:40:00,0,336,336
2023-10-09 01:45:00,0,291,291
2023-10-09 01:50:00,0,267,267
2023-10-09 01:55:00,0,523,523
2023-10-09 02:00:00,0,331,331
2023-10-09 02:05:00,0,338,338
2023-10-09 02:10:00,0,549,549
2023-10-09 02:15:00,0,339,339
2023-10-09 02:20:00,0,292,292
2023-10-09 02:25:00,0,277,277
2023-10-09 02:30:00,0,280,280
2023-10-09 02:35:00,0,336,336
2023-10-09 02:40:00,0,323,323
2023-10-09 02:45:00,0,335,335
2023-10-09 02:50:00,0,321,321
2023-10-09 02:55:00,0,276,276
2023-10-09 03:00:00,0,275,275
2023-10-09 03:05:00,0,312,312
2023-10-09 03:10:00,0,545,545
2023-10-09 03:15:00,0,334,334
2023-10-09 03:20:00,0,325,325
2023-10-09 03:25:00,0,338,338
2023-10-09 03:30:00,0,271,271
2023-10-09 03:35:00,0,270,270
2023-10-09 03:40:00,0,278,278
2023-10-09 03:45:00,0,345,345
2023-10-09 03:50:00,0,344,344
2023-10-09 03:55:00,0,338,338
2023-10-09 04:00:00,0,316,316
2023-10-09 04:05:00,0,275,275
2023-10-09 04:10:00,0,263,263
2023-10-09 04:15:00,0,293,293
2023-10-09 04:20:00,0,325,325
2023-10-09 04:25:00,0,346,346
2023-10-09 04:30:00,0,318,318
2023-10-09 04:35:00,0,333,333
2023-10-09 04:40:00,0,267,267
2023-10-09 04:45:00,0,278,278
2023-10-09 04:50:00,0,277,277
2023-10-09 04:55:00,0,356,356
2023-10-09 05:00:00,0,541,541
2023-10-09 05:05:00,0,336,336
2023-10-09 05:10:00,0,323,323
2023-10-09 05:15:00,0,273,273
2023-10-09 05:20:00,0,257,257
2023-10-09 05:25:00,0,292,292
2023-10-09 05:30:00,0,332,332
2023-10-09 05:35:00,0,328,328
2023-10-09 05:40:00,0,321,321
2023-10-09 05:45:00,0,326,326
2023-10-09 05:50:00,0,543,543
2023-10-09 05:55:00,0,272,272
2023-10-09 06:00:00,0,283,283
2023-10-09 06:05:00,0,336,336
2023-10-09 06:10:00,0,337,337
2023-10-09 06:15:00,0,353,353
2023-10-09 06:20:00,0,536,536
2023-10-09 06:25:00,0,350,350
2023-10-09 06:30:00,0,287,287
2023-10-09 06:35:00,0,290,290
2023-10-09 06:40:00,0,334,334
2023-10-09 06:45:00,0,342,342
2023-10-09 06:50:00,0,337,337
2023-10-09 06:55:00,0,360,360
2023-10-09 07:00:00,0,289,289
2023-10-09 07:05:00,0,285,285
2023-10-09 07:10:00,0,500,500
2023-10-09 07:15:00,0,342,342
2023-10-09 07:20:00,0,546,546
2023-10-09 07:25:00,0,353,353
2023-10-09 07:30:00,0,329,329
2023-10-09 07:35:00,0,283,283
2023-10-09 07:40:00,0,281,281
2023-10-09 07:45:00,0,295,295
2023-10-09 07:50:00,0,336,336
2023-10-09 07:55:00,0,339,339
2023-10-09 08:00:00,0,341,341
2023-10-09 08:05:00,189,161,350
2023-10-09 08:10:00,228,51,279
2023-10-09 08:15:00,262,59,321
2023-10-09 08:20:00,310,8,318
2023-10-09 08:25:00,349,44,393
2023-10-09 08:30:00,385,187,572
2023-10-09 08:35:00,421,-43,378
2023-10-09 08:40:00,466,118,584
2023-10-09 08:45:00,515,-202,313
2023-10-09 08:50:00,560,-260,300
2023-10-09 08:55:00,607,-272,335
2023-10-09 09:00:00,664,-290,374
2023-10-09 09:05:00,715,-344,371
