Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-07-18 00:00:00,0,374,374
2023-07-18 00:05:00,0,383,383
2023-07-18 00:10:00,0,392,392
2023-07-18 00:15:00,0,368,368
2023-07-18 00:20:00,0,371,371
2023-07-18 00:25:00,0,360,360
2023-07-18 00:30:00,0,254,254
2023-07-18 00:35:00,0,579,579
2023-07-18 00:40:00,0,591,591
2023-07-18 00:45:00,0,800,800
2023-07-18 00:50:00,0,249,249
2023-07-18 00:55:00,0,288,288
2023-07-18 01:00:00,0,295,295
2023-07-18 01:05:00,0,337,337
2023-07-18 01:10:00,0,345,345
2023-07-18 01:15:00,0,337,337
2023-07-18 01:20:00,0,348,348
2023-07-18 01:25:00,0,327,327
2023-07-18 01:30:00,0,336,336
2023-07-18 01:35:00,0,324,324
2023-07-18 01:40:00,0,330,330
2023-07-18 01:45:00,0,321,321
2023-07-18 01:50:00,0,330,330
2023-07-18 01:55:00,0,315,315
2023-07-18 02:00:00,0,322,322
2023-07-18 02:05:00,0,312,312
2023-07-18 02:10:00,0,325,325
2023-07-18 02:15:00,0,318,318
2023-07-18 02:20:00,0,323,323
2023-07-18 02:25:00,0,314,314
2023-07-18 02:30:00,0,321,321
2023-07-18 02:35:00,0,309,309
2023-07-18 02:40:00,0,316,316
2023-07-18 02:45:00,0,320,320
2023-07-18 02:50:00,0,332,332
2023-07-18 02:55:00,0,311,311
2023-07-18 03:00:00,0,323,323
2023-07-18 03:05:00,0,311,311
2023-07-18 03:10:00,0,325,325
2023-07-18 03:15:00,0,312,312
2023-07-18 03:20:00,0,318,318
2023-07-18 03:25:00,0,310,310
2023-07-18 03:30:00,0,318,318
2023-07-18 03:35:00,0,307,307
2023-07-18 03:40:00,0,316,316
2023-07-18 03:45:00,0,306,306
2023-07-18 03:50:00,0,318,318
2023-07-18 03:55:00,0,309,309
2023-07-18 04:00:00,0,247,247
2023-07-18 04:05:00,0,1738,1738
2023-07-18 04:10:00,0,1837,1837
2023-07-18 04:15:00,0,1851,1851
2023-07-18 04:20:00,0,1867,1867
2023-07-18 04:25:00,0,1835,1835
2023-07-18 04:30:00,0,400,400
2023-07-18 04:35:00,0,497,497
2023-07-18 04:40:00,0,302,302
2023-07-18 04:45:00,0,304,304
2023-07-18 04:50:00,0,2454,2454
2023-07-18 04:55:00,0,2445,2445
2023-07-18 05:00:00,0,428,428
2023-07-18 05:05:00,0,398,398
2023-07-18 05:10:00,0,385,385
2023-07-18 05:15:00,0,385,385
2023-07-18 05:20:00,0,251,251
2023-07-18 05:25:00,0,271,271
2023-07-18 05:30:00,0,331,331
2023-07-18 05:35:00,0,317,317
2023-07-18 05:40:00,0,340,340
2023-07-18 05:45:00,0,342,342
2023-07-18 05:50:00,0,237,237
2023-07-18 05:55:00,0,252,252
2023-07-18 06:00:00,0,352,352
2023-07-18 06:05:00,0,344,344
2023-07-18 06:10:00,0,618,618
2023-07-18 06:15:00,153,460,613
2023-07-18 06:20:00,177,425,602
2023-07-18 06:25:00,248,240,488
2023-07-18 06:30:00,247,14,261
2023-07-18 06:35:00,278,57,335
2023-07-18 06:40:00,387,-130,257
2023-07-18 06:45:00,407,-74,333
2023-07-18 06:50:00,427,-42,385
2023-07-18 06:55:00,558,-179,379
2023-07-18 07:00:00,672,-422,250
2023-07-18 07:05:00,843,-601,242
2023-07-18 07:10:00,912,-667,245
2023-07-18 07:15:00,1072,-817,255
2023-07-18 07:20:00,1325,-1010,315
2023-07-18 07:25:00,1520,-1223,297
2023-07-18 07:30:00,1832,-1522,310
2023-07-18 07:35:00,2082,-1855,227
2023-07-18 07:40:00,2079,-1850,229
2023-07-18 07:45:00,2185,-1734,451
2023-07-18 07:50:00,2208,-1883,325
2023-07-18 07:55:00,2348,-2010,338
2023-07-18 08:00:00,2558,-2232,326
2023-07-18 08:05:00,2599,-2305,294
2023-07-18 08:10:00,2768,-2491,277
2023-07-18 08:15:00,2897,-2683,214
2023-07-18 08:20:00,3059,-2817,242
2023-07-18 08:25:00,3369,-3094,275
2023-07-18 08:30:00,3530,-3216,314
2023-07-18 08:35:00,3958,-3578,380
2023-07-18 08:40:00,4150,-3774,376
2023-07-18 08:45:00,4287,-3983,304
2023-07-18 08:50:00,4489,-4177,312
2023-07-18 08:55:00,4663,-4292,371
2023-07-18 09:00:00,4841,-4459,382
2023-07-18 09:05:00,4921,-4515,406
2023-07-18 09:10:00,5181,2183,7364
2023-07-18 09:15:00,5367,-1739,3628
2023-07-18 09:20:00,5544,-2083,3461
2023-07-18 09:25:00,5720,-2363,3357
2023-07-18 09:30:00,5861,-2268,3593
2023-07-18 09:35:00,6018,-2706,3312
2023-07-18 09:40:00,6186,-2675,3511
2023-07-18 09:45:00,6333,-5627,706
2023-07-18 09:50:00,6470,-5540,930
2023-07-18 09:55:00,6600,-6122,478
2023-07-18 10:00:00,6694,-6251,443
2023-07-18 10:05:00,6828,-6375,453
2023-07-18 10:10:00,7010,-6036,974
2023-07-18 10:15:00,7081,-6177,904
2023-07-18 10:20:00,7243,-6377,866
2023-07-18 10:25:00,7302,-6492,810
2023-07-18 10:30:00,7462,-6418,1044
2023-07-18 10:35:00,7570,-6760,810
2023-07-18 10:40:00,7648,-6817,831
2023-07-18 10:45:00,7771,-7118,653
2023-07-18 10:50:00,7883,-6878,1005
2023-07-18 10:55:00,7950,-6928,1022
2023-07-18 11:00:00,8053,-7019,1034
2023-07-18 11:05:00,8100,-7497,603
2023-07-18 11:10:00,8164,-7599,565
2023-07-18 11:15:00,8243,-7557,686
2023-07-18 11:20:00,8308,-7354,954
2023-07-18 11:25:00,8403,-7666,737
2023-07-18 11:30:00,8439,-7688,751
2023-07-18 11:35:00,8489,-7740,749
2023-07-18 11:40:00,8547,-7342,1205
2023-07-18 11:45:00,8607,-7412,1195
2023-07-18 11:50:00,8623,-7876,747
2023-07-18 11:55:00,8680,-8003,677
2023-07-18 12:00:00,8658,-8183,475
2023-07-18 12:05:00,8754,-7996,758
2023-07-18 12:10:00,8782,-8223,559
2023-07-18 12:15:00,8837,-8280,557
2023-07-18 12:20:00,8934,-8367,567
2023-07-18 12:25:00,9101,-7897,1204
2023-07-18 12:30:00,9286,-7919,1367
2023-07-18 12:35:00,9330,-8016,1314
2023-07-18 12:40:00,8972,-7752,1220
2023-07-18 12:45:00,8947,-7840,1107
2023-07-18 12:50:00,8965,-8025,940
2023-07-18 12:55:00,8971,-8075,896
2023-07-18 13:00:00,8990,-8093,897
2023-07-18 13:05:00,8996,-7874,1122
2023-07-18 13:10:00,8974,-8064,910
2023-07-18 13:15:00,9008,-8010,998
2023-07-18 13:20:00,8953,-8033,920
2023-07-18 13:25:00,8923,-8020,903
2023-07-18 13:30:00,9037,-8368,669
2023-07-18 13:35:00,9379,-8729,650
2023-07-18 13:40:00,9642,-8499,1143
2023-07-18 13:45:00,9461,-8574,887
