Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-08-03 00:00:00,0,350,350
2023-08-03 00:05:00,0,334,334
2023-08-03 00:10:00,0,260,260
2023-08-03 00:15:00,0,253,253
2023-08-03 00:20:00,0,277,277
2023-08-03 00:25:00,0,317,317
2023-08-03 00:30:00,0,310,310
2023-08-03 00:35:00,0,327,327
2023-08-03 00:40:00,0,545,545
2023-08-03 00:45:00,0,316,316
2023-08-03 00:50:00,0,256,256
2023-08-03 00:55:00,0,478,478
2023-08-03 01:00:00,0,314,314
2023-08-03 01:05:00,0,314,314
2023-08-03 01:10:00,0,531,531
2023-08-03 01:15:00,0,319,319
2023-08-03 01:20:00,0,314,314
2023-08-03 01:25:00,0,251,251
2023-08-03 01:30:00,0,257,257
2023-08-03 01:35:00,0,505,505
2023-08-03 01:40:00,0,325,325
2023-08-03 01:45:00,0,313,313
2023-08-03 01:50:00,0,312,312
2023-08-03 01:55:00,0,306,306
2023-08-03 02:00:00,0,250,250
2023-08-03 02:05:00,0,252,252
2023-08-03 02:10:00,0,258,258
2023-08-03 02:15:00,0,316,316
2023-08-03 02:20:00,0,306,306
2023-08-03 02:25:00,0,311,311
2023-08-03 02:30:00,0,313,313
2023-08-03 02:35:00,0,299,299
2023-08-03 02:40:00,0,246,246
2023-08-03 02:45:00,0,246,246
2023-08-03 02:50:00,0,296,296
2023-08-03 02:55:00,0,307,307
2023-08-03 03:00:00,0,307,307
2023-08-03 03:05:00,0,313,313
2023-08-03 03:10:00,0,300,300
2023-08-03 03:15:00,0,245,245
2023-08-03 03:20:00,0,255,255
2023-08-03 03:25:00,0,482,482
2023-08-03 03:30:00,0,304,304
2023-08-03 03:35:00,0,305,305
2023-08-03 03:40:00,0,307,307
2023-08-03 03:45:00,0,305,305
2023-08-03 03:50:00,0,307,307
2023-08-03 03:55:00,0,245,245
2023-08-03 04:00:00,0,245,245
2023-08-03 04:05:00,0,298,298
2023-08-03 04:10:00,0,315,315
2023-08-03 04:15:00,0,301,301
2023-08-03 04:20:00,0,312,312
2023-08-03 04:25:00,0,313,313
2023-08-03 04:30:00,0,244,244
2023-08-03 04:35:00,0,244,244
2023-08-03 04:40:00,0,280,280
2023-08-03 04:45:00,0,306,306
2023-08-03 04:50:00,0,305,305
2023-08-03 04:55:00,0,306,306
2023-08-03 05:00:00,0,307,307
2023-08-03 05:05:00,0,253,253
2023-08-03 05:10:00,0,246,246
2023-08-03 05:15:00,0,274,274
2023-08-03 05:20:00,0,308,308
2023-08-03 05:25:00,0,305,305
2023-08-03 05:30:00,0,296,296
2023-08-03 05:35:00,0,305,305
2023-08-03 05:40:00,0,246,246
2023-08-03 05:45:00,0,244,244
2023-08-03 05:50:00,0,259,259
2023-08-03 05:55:00,0,318,318
2023-08-03 06:00:00,0,306,306
2023-08-03 06:05:00,0,327,327
2023-08-03 06:10:00,0,326,326
2023-08-03 06:15:00,0,270,270
2023-08-03 06:20:00,0,259,259
2023-08-03 06:25:00,0,277,277
2023-08-03 06:30:00,0,320,320
2023-08-03 06:35:00,82,328,410
2023-08-03 06:40:00,143,185,328
2023-08-03 06:45:00,121,198,319
2023-08-03 06:50:00,229,92,321
2023-08-03 06:55:00,313,-44,269
2023-08-03 07:00:00,190,84,274
2023-08-03 07:05:00,297,39,336
2023-08-03 07:10:00,319,7,326
2023-08-03 07:15:00,339,0,339
2023-08-03 07:20:00,276,62,338
2023-08-03 07:25:00,518,-185,333
2023-08-03 07:30:00,517,-253,264
2023-08-03 07:35:00,534,-41,493
2023-08-03 07:40:00,567,-219,348
