Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-11-12 00:00:00,0,1925,1925
2023-11-12 00:05:00,0,306,306
2023-11-12 00:10:00,0,233,233
2023-11-12 00:15:00,0,237,237
2023-11-12 00:20:00,0,281,281
2023-11-12 00:25:00,0,297,297
2023-11-12 00:30:00,0,302,302
2023-11-12 00:35:00,0,1793,1793
2023-11-12 00:40:00,0,1808,1808
2023-11-12 00:45:00,0,1887,1887
2023-11-12 00:50:00,0,1852,1852
2023-11-12 00:55:00,0,240,240
2023-11-12 01:00:00,0,251,251
2023-11-12 01:05:00,0,288,288
2023-11-12 01:10:00,0,288,288
2023-11-12 01:15:00,0,286,286
2023-11-12 01:20:00,0,284,284
2023-11-12 01:25:00,0,1823,1823
2023-11-12 01:30:00,0,1742,1742
2023-11-12 01:35:00,0,1756,1756
2023-11-12 01:40:00,0,1891,1891
2023-11-12 01:45:00,0,1867,1867
2023-11-12 01:50:00,0,1920,1920
2023-11-12 01:55:00,0,290,290
2023-11-12 02:00:00,0,287,287
2023-11-12 02:05:00,0,492,492
2023-11-12 02:10:00,0,298,298
2023-11-12 02:15:00,0,239,239
2023-11-12 02:20:00,0,558,558
2023-11-12 02:25:00,0,2145,2145
2023-11-12 02:30:00,0,2074,2074
2023-11-12 02:35:00,0,1772,1772
2023-11-12 02:40:00,0,1893,1893
2023-11-12 02:45:00,0,1924,1924
2023-11-12 02:50:00,0,323,323
2023-11-12 02:55:00,0,329,329
2023-11-12 03:00:00,0,321,321
2023-11-12 03:05:00,0,325,325
2023-11-12 03:10:00,0,315,315
2023-11-12 03:15:00,0,327,327
2023-11-12 03:20:00,0,1843,1843
2023-11-12 03:25:00,0,1895,1895
2023-11-12 03:30:00,0,1799,1799
2023-11-12 03:35:00,0,1781,1781
2023-11-12 03:40:00,0,1884,1884
2023-11-12 03:45:00,0,1888,1888
2023-11-12 03:50:00,0,1911,1911
2023-11-12 03:55:00,0,512,512
2023-11-12 04:00:00,0,305,305
2023-11-12 04:05:00,0,306,306
2023-11-12 04:10:00,0,291,291
2023-11-12 04:15:00,0,234,234
2023-11-12 04:20:00,0,436,436
2023-11-12 04:25:00,0,2065,2065
2023-11-12 04:30:00,0,1896,1896
2023-11-12 04:35:00,0,1901,1901
2023-11-12 04:40:00,0,1812,1812
2023-11-12 04:45:00,0,1840,1840
2023-11-12 04:50:00,0,1920,1920
2023-11-12 04:55:00,0,239,239
2023-11-12 05:00:00,0,236,236
2023-11-12 05:05:00,0,242,242
2023-11-12 05:10:00,0,286,286
2023-11-12 05:15:00,0,303,303
2023-11-12 05:20:00,0,495,495
2023-11-12 05:25:00,0,1895,1895
2023-11-12 05:30:00,0,1859,1859
2023-11-12 05:35:00,0,1847,1847
2023-11-12 05:40:00,0,1862,1862
2023-11-12 05:45:00,0,245,245
2023-11-12 05:50:00,0,507,507
2023-11-12 05:55:00,0,300,300
2023-11-12 06:00:00,0,284,284
2023-11-12 06:05:00,0,304,304
2023-11-12 06:10:00,0,306,306
2023-11-12 06:15:00,0,1835,1835
2023-11-12 06:20:00,0,1861,1861
2023-11-12 06:25:00,0,1856,1856
2023-11-12 06:30:00,0,2129,2129
2023-11-12 06:35:00,0,2071,2071
2023-11-12 06:40:00,0,1900,1900
2023-11-12 06:45:00,0,308,308
2023-11-12 06:50:00,0,512,512
2023-11-12 06:55:00,0,249,249
2023-11-12 07:00:00,0,236,236
2023-11-12 07:05:00,0,316,316
2023-11-12 07:10:00,0,309,309
2023-11-12 07:15:00,0,1817,1817
2023-11-12 07:20:00,0,1877,1877
2023-11-12 07:25:00,0,1905,1905
2023-11-12 07:30:00,0,1850,1850
2023-11-12 07:35:00,0,238,238
2023-11-12 07:40:00,0,257,257
2023-11-12 07:45:00,0,302,302
2023-11-12 07:50:00,0,302,302
2023-11-12 07:55:00,0,321,321
2023-11-12 08:00:00,0,296,296
2023-11-12 08:05:00,0,1874,1874
2023-11-12 08:10:00,106,1753,1859
2023-11-12 08:15:00,97,154,251
2023-11-12 08:20:00,85,223,308
2023-11-12 08:25:00,96,223,319
2023-11-12 08:30:00,148,161,309
2023-11-12 08:35:00,167,155,322
2023-11-12 08:40:00,152,156,308
2023-11-12 08:45:00,183,8150,8333
2023-11-12 08:50:00,206,4444,4650
2023-11-12 08:55:00,219,2889,3108
2023-11-12 09:00:00,207,2986,3193
2023-11-12 09:05:00,210,3003,3213
2023-11-12 09:10:00,197,3237,3434
2023-11-12 09:15:00,170,3877,4047
2023-11-12 09:20:00,174,3316,3490
2023-11-12 09:25:00,197,4765,4962
2023-11-12 09:30:00,206,4888,5094
2023-11-12 09:35:00,196,4890,5086
2023-11-12 09:40:00,232,4827,5059
2023-11-12 09:45:00,309,3181,3490
2023-11-12 09:50:00,341,3146,3487
2023-11-12 09:55:00,367,3230,3597
2023-11-12 10:00:00,313,3276,3589
2023-11-12 10:05:00,305,3288,3593
2023-11-12 10:10:00,278,6234,6512
2023-11-12 10:15:00,272,6230,6502
2023-11-12 10:20:00,307,4536,4843
2023-11-12 10:25:00,328,4493,4821
2023-11-12 10:30:00,337,4431,4768
2023-11-12 10:35:00,335,4432,4767
2023-11-12 10:40:00,383,3084,3467
2023-11-12 10:45:00,434,2999,3433
2023-11-12 10:50:00,414,3079,3493
2023-11-12 10:55:00,394,4579,4973
2023-11-12 11:00:00,405,2442,2847
2023-11-12 11:05:00,414,2529,2943
2023-11-12 11:10:00,435,582,1017
2023-11-12 11:15:00,484,472,956
2023-11-12 11:20:00,510,541,1051
2023-11-12 11:25:00,542,2423,2965
2023-11-12 11:30:00,515,702,1217
2023-11-12 11:35:00,484,602,1086
2023-11-12 11:40:00,461,2115,2576
2023-11-12 11:45:00,533,4338,4871
2023-11-12 11:50:00,539,6238,6777
2023-11-12 11:55:00,679,2551,3230
2023-11-12 12:00:00,685,2546,3231
2023-11-12 12:05:00,658,457,1115
2023-11-12 12:10:00,594,2383,2977
2023-11-12 12:15:00,645,4170,4815
2023-11-12 12:20:00,581,6658,7239
2023-11-12 12:25:00,594,3808,4402
2023-11-12 12:30:00,799,3606,4405
2023-11-12 12:35:00,917,3718,4635
2023-11-12 12:40:00,722,14104,14826
2023-11-12 12:45:00,667,11866,12533
2023-11-12 12:50:00,734,14308,15042
2023-11-12 12:55:00,802,12118,12920
2023-11-12 13:00:00,795,12486,13281
2023-11-12 13:05:00,828,12722,13550
2023-11-12 13:10:00,885,12726,13611
2023-11-12 13:15:00,864,14845,15709
2023-11-12 13:20:00,745,14969,15714
2023-11-12 13:25:00,694,15407,16101
2023-11-12 13:30:00,744,15032,15776
2023-11-12 13:35:00,721,12448,13169
2023-11-12 13:40:00,656,12599,13255
2023-11-12 13:45:00,536,12462,12998
2023-11-12 13:50:00,485,12578,13063
2023-11-12 13:55:00,494,12766,13260
2023-11-12 14:00:00,527,12825,13352
2023-11-12 14:05:00,636,12562,13198
2023-11-12 14:10:00,559,12764,13323
2023-11-12 14:15:00,585,12803,13388
2023-11-12 14:20:00,604,12699,13303
2023-11-12 14:25:00,659,12695,13354
2023-11-12 14:30:00,690,10460,11150
2023-11-12 14:35:00,717,10433,11150
2023-11-12 14:40:00,836,10655,11491
2023-11-12 14:45:00,840,10203,11043
2023-11-12 14:50:00,884,10137,11021
2023-11-12 14:55:00,723,10494,11217
2023-11-12 15:00:00,616,11982,12598
2023-11-12 15:05:00,592,11887,12479
2023-11-12 15:10:00,332,12453,12785
2023-11-12 15:15:00,564,-41,523
2023-11-12 15:20:00,515,-51,464
2023-11-12 15:25:00,434,100,534
2023-11-12 15:30:00,498,-34,464
2023-11-12 15:35:00,418,52,470
2023-11-12 15:40:00,369,93,462
2023-11-12 15:45:00,339,124,463
2023-11-12 15:50:00,319,86,405
2023-11-12 15:55:00,290,178,468
2023-11-12 16:00:00,244,1759,2003
2023-11-12 16:05:00,211,1739,1950
2023-11-12 16:10:00,152,1870,2022
2023-11-12 16:15:00,115,6916,7031
2023-11-12 16:20:00,86,3186,3272
2023-11-12 16:25:00,61,3174,3235
2023-11-12 16:30:00,47,3167,3214
2023-11-12 16:35:00,34,3228,3262
2023-11-12 16:40:00,31,698,729
2023-11-12 16:45:00,30,693,723
2023-11-12 16:50:00,8,651,659
2023-11-12 16:55:00,0,2361,2361
2023-11-12 17:00:00,0,2034,2034
2023-11-12 17:05:00,0,2054,2054
2023-11-12 17:10:00,0,2146,2146
2023-11-12 17:15:00,0,662,662
2023-11-12 17:20:00,0,668,668
2023-11-12 17:25:00,0,786,786
2023-11-12 17:30:00,0,645,645
2023-11-12 17:35:00,0,695,695
2023-11-12 17:40:00,0,743,743
2023-11-12 17:45:00,0,777,777
2023-11-12 17:50:00,0,2267,2267
2023-11-12 17:55:00,0,2489,2489
2023-11-12 18:00:00,0,4452,4452
2023-11-12 18:05:00,0,1526,1526
2023-11-12 18:10:00,0,2118,2118
2023-11-12 18:15:00,0,2530,2530
2023-11-12 18:20:00,0,2536,2536
2023-11-12 18:25:00,0,1054,1054
2023-11-12 18:30:00,0,1071,1071
2023-11-12 18:35:00,0,2538,2538
2023-11-12 18:40:00,0,2642,2642
2023-11-12 18:45:00,0,2660,2660
2023-11-12 18:50:00,0,2495,2495
2023-11-12 18:55:00,0,903,903
2023-11-12 19:00:00,0,887,887
2023-11-12 19:05:00,0,882,882
2023-11-12 19:10:00,0,3615,3615
2023-11-12 19:15:00,0,3552,3552
2023-11-12 19:20:00,0,3453,3453
2023-11-12 19:25:00,0,6259,6259
2023-11-12 19:30:00,0,6130,6130
2023-11-12 19:35:00,0,3517,3517
2023-11-12 19:40:00,0,2319,2319
2023-11-12 19:45:00,0,2025,2025
2023-11-12 19:50:00,0,1904,1904
2023-11-12 19:55:00,0,1974,1974
2023-11-12 20:00:00,0,517,517
2023-11-12 20:05:00,0,505,505
2023-11-12 20:10:00,0,2595,2595
2023-11-12 20:15:00,0,549,549
2023-11-12 20:20:00,0,4046,4046
2023-11-12 20:25:00,0,2019,2019
2023-11-12 20:30:00,0,2097,2097
