Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-07-24 00:00:00,0,11470,11470
2023-07-24 00:05:00,0,11233,11233
2023-07-24 00:10:00,0,11282,11282
2023-07-24 00:15:00,0,11258,11258
2023-07-24 00:20:00,0,11222,11222
2023-07-24 00:25:00,0,301,301
2023-07-24 00:30:00,0,302,302
2023-07-24 00:35:00,0,525,525
2023-07-24 00:40:00,0,295,295
2023-07-24 00:45:00,0,296,296
2023-07-24 00:50:00,0,241,241
2023-07-24 00:55:00,0,242,242
2023-07-24 01:00:00,0,299,299
2023-07-24 01:05:00,0,300,300
2023-07-24 01:10:00,0,304,304
2023-07-24 01:15:00,0,300,300
2023-07-24 01:20:00,0,299,299
2023-07-24 01:25:00,0,298,298
2023-07-24 01:30:00,0,295,295
2023-07-24 01:35:00,0,242,242
2023-07-24 01:40:00,0,242,242
2023-07-24 01:45:00,0,262,262
2023-07-24 01:50:00,0,519,519
2023-07-24 01:55:00,0,296,296
2023-07-24 02:00:00,0,298,298
2023-07-24 02:05:00,0,299,299
2023-07-24 02:10:00,0,302,302
2023-07-24 02:15:00,0,298,298
2023-07-24 02:20:00,0,235,235
2023-07-24 02:25:00,0,235,235
2023-07-24 02:30:00,0,270,270
2023-07-24 02:35:00,0,299,299
2023-07-24 02:40:00,0,292,292
2023-07-24 02:45:00,0,301,301
2023-07-24 02:50:00,0,302,302
2023-07-24 02:55:00,0,294,294
2023-07-24 03:00:00,0,232,232
2023-07-24 03:05:00,0,231,231
2023-07-24 03:10:00,0,242,242
2023-07-24 03:15:00,0,294,294
2023-07-24 03:20:00,0,291,291
2023-07-24 03:25:00,0,293,293
2023-07-24 03:30:00,0,283,283
2023-07-24 03:35:00,0,303,303
2023-07-24 03:40:00,0,286,286
2023-07-24 03:45:00,0,453,453
2023-07-24 03:50:00,0,232,232
2023-07-24 03:55:00,0,517,517
2023-07-24 04:00:00,0,293,293
2023-07-24 04:05:00,0,289,289
2023-07-24 04:10:00,0,510,510
2023-07-24 04:15:00,0,284,284
2023-07-24 04:20:00,0,1928,1928
2023-07-24 04:25:00,0,1931,1931
2023-07-24 04:30:00,0,1998,1998
2023-07-24 04:35:00,0,2097,2097
2023-07-24 04:40:00,0,2157,2157
2023-07-24 04:45:00,0,2205,2205
2023-07-24 04:50:00,0,2243,2243
2023-07-24 04:55:00,0,2288,2288
2023-07-24 05:00:00,0,2283,2283
2023-07-24 05:05:00,0,2323,2323
2023-07-24 05:10:00,0,2393,2393
2023-07-24 05:15:00,0,2469,2469
2023-07-24 05:20:00,0,2504,2504
2023-07-24 05:25:00,0,2543,2543
2023-07-24 05:30:00,0,2578,2578
2023-07-24 05:35:00,0,331,331
2023-07-24 05:40:00,0,265,265
2023-07-24 05:45:00,0,261,261
2023-07-24 05:50:00,0,309,309
2023-07-24 05:55:00,0,328,328
2023-07-24 06:00:00,0,320,320
2023-07-24 06:05:00,0,327,327
2023-07-24 06:10:00,0,335,335
2023-07-24 06:15:00,0,273,273
2023-07-24 06:20:00,0,266,266
2023-07-24 06:25:00,175,146,321
2023-07-24 06:30:00,140,195,335
2023-07-24 06:35:00,125,217,342
2023-07-24 06:40:00,115,232,347
2023-07-24 06:45:00,109,227,336
2023-07-24 06:50:00,111,390,501
2023-07-24 06:55:00,178,99,277
2023-07-24 07:00:00,615,-321,294
2023-07-24 07:05:00,659,-329,330
2023-07-24 07:10:00,443,-101,342
2023-07-24 07:15:00,560,-210,350
2023-07-24 07:20:00,829,-492,337
2023-07-24 07:25:00,927,-651,276
2023-07-24 07:30:00,565,-293,272
2023-07-24 07:35:00,58,240,298
2023-07-24 07:40:00,15,323,338
2023-07-24 07:45:00,0,325,325
2023-07-24 07:50:00,0,328,328
2023-07-24 07:55:00,0,330,330
2023-07-24 08:00:00,300,270,570
2023-07-24 08:05:00,370,143,513
2023-07-24 08:10:00,470,73,543
2023-07-24 08:15:00,800,-344,456
