Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-07-10 00:00:00,0,498,498
2023-07-10 00:05:00,0,488,488
2023-07-10 00:10:00,0,466,466
2023-07-10 00:15:00,0,2290,2290
2023-07-10 00:20:00,0,2108,2108
2023-07-10 00:25:00,0,2172,2172
2023-07-10 00:30:00,0,2176,2176
2023-07-10 00:35:00,0,2327,2327
2023-07-10 00:40:00,0,2252,2252
2023-07-10 00:45:00,0,2419,2419
2023-07-10 00:50:00,0,2350,2350
2023-07-10 00:55:00,0,2403,2403
2023-07-10 01:00:00,0,2440,2440
2023-07-10 01:05:00,0,2698,2698
2023-07-10 01:10:00,0,2518,2518
2023-07-10 01:15:00,0,2669,2669
2023-07-10 01:20:00,0,2603,2603
2023-07-10 01:25:00,0,2742,2742
2023-07-10 01:30:00,0,355,355
2023-07-10 01:35:00,0,343,343
2023-07-10 01:40:00,0,561,561
2023-07-10 01:45:00,0,459,459
2023-07-10 01:50:00,0,557,557
2023-07-10 01:55:00,0,452,452
2023-07-10 02:00:00,0,331,331
2023-07-10 02:05:00,0,332,332
2023-07-10 02:10:00,0,335,335
2023-07-10 02:15:00,0,342,342
2023-07-10 02:20:00,0,358,358
2023-07-10 02:25:00,0,339,339
2023-07-10 02:30:00,0,440,440
2023-07-10 02:35:00,0,550,550
2023-07-10 02:40:00,0,328,328
2023-07-10 02:45:00,0,338,338
2023-07-10 02:50:00,0,330,330
2023-07-10 02:55:00,0,326,326
2023-07-10 03:00:00,0,355,355
2023-07-10 03:05:00,0,341,341
2023-07-10 03:10:00,0,345,345
2023-07-10 03:15:00,0,339,339
2023-07-10 03:20:00,0,566,566
2023-07-10 03:25:00,0,340,340
2023-07-10 03:30:00,0,339,339
2023-07-10 03:35:00,0,340,340
2023-07-10 03:40:00,0,336,336
2023-07-10 03:45:00,0,568,568
2023-07-10 03:50:00,0,338,338
2023-07-10 03:55:00,0,335,335
2023-07-10 04:00:00,0,337,337
2023-07-10 04:05:00,0,334,334
2023-07-10 04:10:00,0,334,334
2023-07-10 04:15:00,0,334,334
2023-07-10 04:20:00,0,559,559
2023-07-10 04:25:00,0,337,337
2023-07-10 04:30:00,0,336,336
2023-07-10 04:35:00,0,328,328
2023-07-10 04:40:00,0,328,328
2023-07-10 04:45:00,0,328,328
2023-07-10 04:50:00,0,328,328
2023-07-10 04:55:00,0,426,426
2023-07-10 05:00:00,0,339,339
2023-07-10 05:05:00,0,419,419
2023-07-10 05:10:00,0,341,341
2023-07-10 05:15:00,0,332,332
2023-07-10 05:20:00,0,333,333
2023-07-10 05:25:00,0,328,328
2023-07-10 05:30:00,0,327,327
2023-07-10 05:35:00,0,327,327
2023-07-10 05:40:00,0,326,326
2023-07-10 05:45:00,0,314,314
2023-07-10 05:50:00,0,312,312
2023-07-10 05:55:00,0,318,318
2023-07-10 06:00:00,0,323,323
2023-07-10 06:05:00,0,265,265
2023-07-10 06:10:00,60,212,272
2023-07-10 06:15:00,86,182,268
2023-07-10 06:20:00,115,164,279
2023-07-10 06:25:00,146,195,341
2023-07-10 06:30:00,160,185,345
2023-07-10 06:35:00,160,183,343
2023-07-10 06:40:00,240,94,334
2023-07-10 06:45:00,363,-31,332
2023-07-10 06:50:00,520,-256,264
2023-07-10 06:55:00,622,-361,261
2023-07-10 07:00:00,744,-456,288
2023-07-10 07:05:00,909,-582,327
2023-07-10 07:10:00,1093,-765,328
2023-07-10 07:15:00,1361,-1035,326
2023-07-10 07:20:00,1776,-1434,342
2023-07-10 07:25:00,2107,-1792,315
2023-07-10 07:30:00,2315,-2039,276
2023-07-10 07:35:00,1821,-73,1748
2023-07-10 07:40:00,1711,239,1950
2023-07-10 07:45:00,1591,196,1787
2023-07-10 07:50:00,1667,146,1813
2023-07-10 07:55:00,1777,24,1801
2023-07-10 08:00:00,2392,-1869,523
2023-07-10 08:05:00,3354,-3080,274
2023-07-10 08:10:00,3462,-3140,322
