Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2024-01-16 00:00:00,0,455,455
2024-01-16 00:05:00,0,664,664
2024-01-16 00:10:00,0,1977,1977
2024-01-16 00:15:00,0,1962,1962
2024-01-16 00:20:00,0,1962,1962
2024-01-16 00:25:00,0,2032,2032
2024-01-16 00:30:00,0,2066,2066
2024-01-16 00:35:00,0,318,318
2024-01-16 00:40:00,0,545,545
2024-01-16 00:45:00,0,302,302
2024-01-16 00:50:00,0,294,294
2024-01-16 00:55:00,0,305,305
2024-01-16 01:00:00,0,311,311
2024-01-16 01:05:00,0,1858,1858
2024-01-16 01:10:00,0,1890,1890
2024-01-16 01:15:00,0,1852,1852
2024-01-16 01:20:00,0,1863,1863
2024-01-16 01:25:00,0,1847,1847
2024-01-16 01:30:00,0,1860,1860
2024-01-16 01:35:00,0,273,273
2024-01-16 01:40:00,0,311,311
2024-01-16 01:45:00,0,308,308
2024-01-16 01:50:00,0,297,297
2024-01-16 01:55:00,0,307,307
2024-01-16 02:00:00,0,301,301
2024-01-16 02:05:00,0,1956,1956
2024-01-16 02:10:00,0,1748,1748
2024-01-16 02:15:00,0,1772,1772
2024-01-16 02:20:00,0,1920,1920
2024-01-16 02:25:00,0,296,296
2024-01-16 02:30:00,0,306,306
2024-01-16 02:35:00,0,306,306
2024-01-16 02:40:00,0,307,307
2024-01-16 02:45:00,0,241,241
2024-01-16 02:50:00,0,225,225
2024-01-16 02:55:00,0,240,240
2024-01-16 03:00:00,0,1884,1884
2024-01-16 03:05:00,0,1835,1835
2024-01-16 03:10:00,0,1837,1837
2024-01-16 03:15:00,0,1920,1920
2024-01-16 03:20:00,0,286,286
2024-01-16 03:25:00,0,228,228
2024-01-16 03:30:00,0,240,240
2024-01-16 03:35:00,0,240,240
2024-01-16 03:40:00,0,503,503
2024-01-16 03:45:00,0,296,296
2024-01-16 03:50:00,0,1894,1894
2024-01-16 03:55:00,0,1883,1883
2024-01-16 04:00:00,0,1899,1899
2024-01-16 04:05:00,0,1995,1995
2024-01-16 04:10:00,0,1789,1789
2024-01-16 04:15:00,0,1897,1897
2024-01-16 04:20:00,0,289,289
2024-01-16 04:25:00,0,289,289
2024-01-16 04:30:00,0,296,296
2024-01-16 04:35:00,0,284,284
2024-01-16 04:40:00,0,287,287
2024-01-16 04:45:00,0,225,225
2024-01-16 04:50:00,0,1831,1831
2024-01-16 04:55:00,0,1930,1930
2024-01-16 05:00:00,0,300,300
2024-01-16 05:05:00,0,303,303
2024-01-16 05:10:00,0,289,289
2024-01-16 05:15:00,0,282,282
2024-01-16 05:20:00,0,226,226
2024-01-16 05:25:00,0,226,226
2024-01-16 05:30:00,0,1793,1793
2024-01-16 05:35:00,0,1823,1823
2024-01-16 05:40:00,0,1853,1853
2024-01-16 05:45:00,0,2163,2163
2024-01-16 05:50:00,0,313,313
2024-01-16 05:55:00,0,260,260
2024-01-16 06:00:00,0,1116,1116
2024-01-16 06:05:00,0,394,394
2024-01-16 06:10:00,0,6988,6988
2024-01-16 06:15:00,0,3380,3380
2024-01-16 06:20:00,0,4797,4797
2024-01-16 06:25:00,0,4861,4861
2024-01-16 06:30:00,0,4763,4763
2024-01-16 06:35:00,0,4702,4702
2024-01-16 06:40:00,0,4625,4625
2024-01-16 06:45:00,0,4768,4768
2024-01-16 06:50:00,0,3092,3092
2024-01-16 06:55:00,0,3100,3100
2024-01-16 07:00:00,0,3291,3291
2024-01-16 07:05:00,0,3304,3304
2024-01-16 07:10:00,0,3233,3233
2024-01-16 07:15:00,0,3501,3501
2024-01-16 07:20:00,0,5117,5117
2024-01-16 07:25:00,0,5477,5477
2024-01-16 07:30:00,0,5558,5558
2024-01-16 07:35:00,0,3888,3888
2024-01-16 07:40:00,0,3670,3670
2024-01-16 07:45:00,0,3399,3399
2024-01-16 07:50:00,0,3301,3301
2024-01-16 07:55:00,0,3311,3311
2024-01-16 08:00:00,0,3331,3331
2024-01-16 08:05:00,0,4972,4972
2024-01-16 08:10:00,0,4852,4852
2024-01-16 08:15:00,0,5017,5017
2024-01-16 08:20:00,0,5084,5084
2024-01-16 08:25:00,0,4754,4754
2024-01-16 08:30:00,0,4970,4970
2024-01-16 08:35:00,0,3294,3294
2024-01-16 08:40:00,0,661,661
2024-01-16 08:45:00,0,485,485
2024-01-16 08:50:00,0,424,424
2024-01-16 08:55:00,0,433,433
2024-01-16 09:00:00,0,426,426
2024-01-16 09:05:00,0,2035,2035
2024-01-16 09:10:00,16,2010,2026
2024-01-16 09:15:00,26,2054,2080
2024-01-16 09:20:00,0,2150,2150
2024-01-16 09:25:00,44,1995,2039
2024-01-16 09:30:00,301,1739,2040
2024-01-16 09:35:00,336,1804,2140
2024-01-16 09:40:00,385,1513,1898
2024-01-16 09:45:00,458,1473,1931
2024-01-16 09:50:00,499,1482,1981
2024-01-16 09:55:00,536,1434,1970
2024-01-16 10:00:00,580,1758,2338
2024-01-16 10:05:00,614,1741,2355
2024-01-16 10:10:00,650,1959,2609
2024-01-16 10:15:00,674,1658,2332
2024-01-16 10:20:00,707,3968,4675
2024-01-16 10:25:00,733,4094,4827
2024-01-16 10:30:00,767,4110,4877
2024-01-16 10:35:00,801,4385,5186
2024-01-16 10:40:00,864,1418,2282
2024-01-16 10:45:00,932,1596,2528
2024-01-16 10:50:00,983,1373,2356
2024-01-16 10:55:00,1029,1572,2601
2024-01-16 11:00:00,1078,1354,2432
2024-01-16 11:05:00,1136,1256,2392
2024-01-16 11:10:00,1182,1250,2432
2024-01-16 11:15:00,1253,1570,2823
2024-01-16 11:20:00,1064,1686,2750
2024-01-16 11:25:00,1351,1238,2589
