Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2024-02-25 00:00:00,0,12629,12629
2024-02-25 00:05:00,0,12656,12656
2024-02-25 00:10:00,0,12627,12627
2024-02-25 00:15:00,0,12679,12679
2024-02-25 00:20:00,0,12715,12715
2024-02-25 00:25:00,0,12934,12934
2024-02-25 00:30:00,0,12900,12900
2024-02-25 00:35:00,0,12768,12768
2024-02-25 00:40:00,0,12844,12844
2024-02-25 00:45:00,0,13037,13037
2024-02-25 00:50:00,0,12874,12874
2024-02-25 00:55:00,0,12978,12978
2024-02-25 01:00:00,0,13007,13007
2024-02-25 01:05:00,0,11074,11074
2024-02-25 01:10:00,0,11061,11061
2024-02-25 01:15:00,0,10805,10805
2024-02-25 01:20:00,0,10689,10689
2024-02-25 01:25:00,0,10769,10769
2024-02-25 01:30:00,0,10857,10857
2024-02-25 01:35:00,0,12377,12377
2024-02-25 01:40:00,0,12525,12525
2024-02-25 01:45:00,0,12331,12331
2024-02-25 01:50:00,0,1853,1853
2024-02-25 01:55:00,0,1891,1891
2024-02-25 02:00:00,0,1832,1832
2024-02-25 02:05:00,0,1834,1834
2024-02-25 02:10:00,0,1789,1789
2024-02-25 02:15:00,0,1878,1878
2024-02-25 02:20:00,0,1865,1865
2024-02-25 02:25:00,0,2104,2104
2024-02-25 02:30:00,0,1915,1915
2024-02-25 02:35:00,0,1913,1913
2024-02-25 02:40:00,0,1900,1900
2024-02-25 02:45:00,0,1788,1788
2024-02-25 02:50:00,0,1824,1824
2024-02-25 02:55:00,0,1863,1863
2024-02-25 03:00:00,0,1884,1884
2024-02-25 03:05:00,0,1888,1888
2024-02-25 03:10:00,0,1881,1881
2024-02-25 03:15:00,0,1846,1846
2024-02-25 03:20:00,0,1836,1836
2024-02-25 03:25:00,0,1863,1863
2024-02-25 03:30:00,0,1815,1815
2024-02-25 03:35:00,0,1827,1827
2024-02-25 03:40:00,0,1884,1884
2024-02-25 03:45:00,0,1889,1889
2024-02-25 03:50:00,0,1839,1839
2024-02-25 03:55:00,0,1787,1787
2024-02-25 04:00:00,0,1817,1817
2024-02-25 04:05:00,0,1817,1817
2024-02-25 04:10:00,0,1825,1825
2024-02-25 04:15:00,0,1822,1822
2024-02-25 04:20:00,0,1840,1840
2024-02-25 04:25:00,0,1920,1920
2024-02-25 04:30:00,0,1832,1832
2024-02-25 04:35:00,0,1828,1828
2024-02-25 04:40:00,0,1876,1876
2024-02-25 04:45:00,0,1890,1890
2024-02-25 04:50:00,0,1850,1850
2024-02-25 04:55:00,0,1811,1811
2024-02-25 05:00:00,0,1822,1822
2024-02-25 05:05:00,0,1838,1838
2024-02-25 05:10:00,0,1829,1829
2024-02-25 05:15:00,0,1873,1873
2024-02-25 05:20:00,0,1882,1882
2024-02-25 05:25:00,0,1884,1884
2024-02-25 05:30:00,0,1886,1886
2024-02-25 05:35:00,0,1827,1827
2024-02-25 05:40:00,0,1830,1830
2024-02-25 05:45:00,0,1900,1900
2024-02-25 05:50:00,0,1830,1830
2024-02-25 05:55:00,0,1840,1840
2024-02-25 06:00:00,0,1882,1882
2024-02-25 06:05:00,0,1903,1903
2024-02-25 06:10:00,0,1915,1915
2024-02-25 06:15:00,0,2062,2062
2024-02-25 06:20:00,0,1851,1851
2024-02-25 06:25:00,0,282,282
2024-02-25 06:30:00,0,296,296
2024-02-25 06:35:00,0,297,297
2024-02-25 06:40:00,0,291,291
2024-02-25 06:45:00,0,301,301
2024-02-25 06:50:00,0,280,280
2024-02-25 06:55:00,0,237,237
2024-02-25 07:00:00,0,233,233
2024-02-25 07:05:00,0,252,252
2024-02-25 07:10:00,0,282,282
2024-02-25 07:15:00,0,284,284
2024-02-25 07:20:00,0,291,291
2024-02-25 07:25:00,0,1807,1807
2024-02-25 07:30:00,0,2241,2241
2024-02-25 07:35:00,0,2018,2018
2024-02-25 07:40:00,278,1781,2059
2024-02-25 07:45:00,354,1697,2051
2024-02-25 07:50:00,453,1649,2102
2024-02-25 07:55:00,446,1855,2301
2024-02-25 08:00:00,495,1671,2166
2024-02-25 08:05:00,588,1578,2166
2024-02-25 08:10:00,587,1572,2159
2024-02-25 08:15:00,429,1410,1839
2024-02-25 08:20:00,346,1540,1886
2024-02-25 08:25:00,308,1618,1926
2024-02-25 08:30:00,332,1838,2170
2024-02-25 08:35:00,372,1594,1966
2024-02-25 08:40:00,373,-37,336
2024-02-25 08:45:00,423,133,556
2024-02-25 08:50:00,427,-93,334
2024-02-25 08:55:00,457,2634,3091
2024-02-25 09:00:00,583,1572,2155
2024-02-25 09:05:00,1154,1024,2178
2024-02-25 09:10:00,3840,3591,7431
2024-02-25 09:15:00,4155,-587,3568
2024-02-25 09:20:00,4310,687,4997
2024-02-25 09:25:00,4449,567,5016
2024-02-25 09:30:00,4624,-767,3857
2024-02-25 09:35:00,4960,-1110,3850
2024-02-25 09:40:00,5049,-1344,3705
2024-02-25 09:45:00,5200,-1612,3588
2024-02-25 09:50:00,5363,-1701,3662
2024-02-25 09:55:00,4863,522,5385
2024-02-25 10:00:00,1741,3478,5219
2024-02-25 10:05:00,1678,1858,3536
2024-02-25 10:10:00,1835,1503,3338
2024-02-25 10:15:00,3841,-525,3316
2024-02-25 10:20:00,1873,1457,3330
2024-02-25 10:25:00,3741,-351,3390
2024-02-25 10:30:00,7311,-3987,3324
2024-02-25 10:35:00,6970,-3658,3312
2024-02-25 10:40:00,7136,-3750,3386
2024-02-25 10:45:00,7154,-3820,3334
2024-02-25 10:50:00,6994,-3669,3325
2024-02-25 10:55:00,6602,-3426,3176
2024-02-25 11:00:00,6888,-3542,3346
2024-02-25 11:05:00,1881,1890,3771
2024-02-25 11:10:00,5076,-1686,3390
2024-02-25 11:15:00,8003,-7559,444
2024-02-25 11:20:00,2407,-2070,337
2024-02-25 11:25:00,6920,-7222,-302
2024-02-25 11:30:00,7489,-6763,726
2024-02-25 11:35:00,7940,-7567,373
2024-02-25 11:40:00,7781,-7398,383
2024-02-25 11:45:00,7823,-7407,416
2024-02-25 11:50:00,7565,-7168,397
2024-02-25 11:55:00,7687,-7319,368
2024-02-25 12:00:00,7504,-7122,382
2024-02-25 12:05:00,7647,-7336,311
2024-02-25 12:10:00,7698,-7383,315
2024-02-25 12:15:00,7762,-7371,391
2024-02-25 12:20:00,7776,-7404,372
2024-02-25 12:25:00,7792,-7398,394
2024-02-25 12:30:00,7723,-7341,382
2024-02-25 12:35:00,7567,-7000,567
2024-02-25 12:40:00,7274,-6873,401
2024-02-25 12:45:00,7578,-7334,244
2024-02-25 12:50:00,7855,-7536,319
2024-02-25 12:55:00,7917,-7533,384
2024-02-25 13:00:00,8070,-7704,366
2024-02-25 13:05:00,7860,-7469,391
2024-02-25 13:10:00,8114,-7695,419
2024-02-25 13:15:00,7899,-7169,730
2024-02-25 13:20:00,4154,-3714,440
2024-02-25 13:25:00,6645,-6537,108
2024-02-25 13:30:00,8397,-8070,327
2024-02-25 13:35:00,8237,-7852,385
2024-02-25 13:40:00,7607,-7239,368
2024-02-25 13:45:00,8061,-7643,418
2024-02-25 13:50:00,8377,-5207,3170
2024-02-25 13:55:00,1955,1489,3444
2024-02-25 14:00:00,8069,-4915,3154
2024-02-25 14:05:00,5847,-965,4882
2024-02-25 14:10:00,3996,-3536,460
2024-02-25 14:15:00,7743,-7373,370
2024-02-25 14:20:00,2582,-1930,652
2024-02-25 14:25:00,3291,-2891,400
2024-02-25 14:30:00,8311,-7890,421
2024-02-25 14:35:00,7884,-7511,373
2024-02-25 14:40:00,6967,-6674,293
2024-02-25 14:45:00,6721,-6408,313
2024-02-25 14:50:00,6454,-5897,557
2024-02-25 14:55:00,6599,-6229,370
2024-02-25 15:00:00,6815,-6353,462
2024-02-25 15:05:00,7028,-6664,364
2024-02-25 15:10:00,5756,-4679,1077
2024-02-25 15:15:00,6415,-6066,349
2024-02-25 15:20:00,5016,-4848,168
2024-02-25 15:25:00,4364,-4130,234
2024-02-25 15:30:00,1810,-1554,256
2024-02-25 15:35:00,1663,-1408,255
2024-02-25 15:40:00,1721,-1460,261
2024-02-25 15:45:00,1740,-1476,264
2024-02-25 15:50:00,1427,-942,485
2024-02-25 15:55:00,1534,-1252,282
2024-02-25 16:00:00,1122,-690,432
2024-02-25 16:05:00,797,-583,214
2024-02-25 16:10:00,549,-280,269
2024-02-25 16:15:00,390,-115,275
2024-02-25 16:20:00,348,135,483
2024-02-25 16:25:00,349,151,500
2024-02-25 16:30:00,325,-41,284
2024-02-25 16:35:00,341,85,426
2024-02-25 16:40:00,389,6375,6764
2024-02-25 16:45:00,523,2524,3047
2024-02-25 16:50:00,762,2334,3096
2024-02-25 16:55:00,880,2427,3307
2024-02-25 17:00:00,791,-372,419
2024-02-25 17:05:00,696,-283,413
2024-02-25 17:10:00,598,-188,410
2024-02-25 17:15:00,540,-188,352
2024-02-25 17:20:00,560,-204,356
2024-02-25 17:25:00,459,-60,399
2024-02-25 17:30:00,385,41,426
2024-02-25 17:35:00,319,108,427
2024-02-25 17:40:00,254,162,416
2024-02-25 17:45:00,208,212,420
2024-02-25 17:50:00,132,498,630
2024-02-25 17:55:00,60,297,357
2024-02-25 18:00:00,15,352,367
2024-02-25 18:05:00,0,1860,1860
2024-02-25 18:10:00,0,1839,1839
2024-02-25 18:15:00,0,1903,1903
2024-02-25 18:20:00,0,1919,1919
2024-02-25 18:25:00,0,1949,1949
2024-02-25 18:30:00,0,2059,2059
2024-02-25 18:35:00,0,1841,1841
