Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-08-18 00:00:00,0,490,490
2023-08-18 00:05:00,0,485,485
2023-08-18 00:10:00,0,458,458
2023-08-18 00:15:00,0,406,406
2023-08-18 00:20:00,0,394,394
2023-08-18 00:25:00,0,345,345
2023-08-18 00:30:00,0,395,395
2023-08-18 00:35:00,0,393,393
2023-08-18 00:40:00,0,329,329
2023-08-18 00:45:00,0,335,335
2023-08-18 00:50:00,0,342,342
2023-08-18 00:55:00,0,334,334
2023-08-18 01:00:00,0,272,272
2023-08-18 01:05:00,0,272,272
2023-08-18 01:10:00,0,321,321
2023-08-18 01:15:00,0,331,331
2023-08-18 01:20:00,0,332,332
2023-08-18 01:25:00,0,393,393
2023-08-18 01:30:00,0,387,387
2023-08-18 01:35:00,0,393,393
2023-08-18 01:40:00,0,272,272
2023-08-18 01:45:00,0,266,266
2023-08-18 01:50:00,0,280,280
2023-08-18 01:55:00,0,332,332
2023-08-18 02:00:00,0,325,325
2023-08-18 02:05:00,0,334,334
2023-08-18 02:10:00,0,332,332
2023-08-18 02:15:00,0,336,336
2023-08-18 02:20:00,0,328,328
2023-08-18 02:25:00,0,267,267
2023-08-18 02:30:00,0,269,269
2023-08-18 02:35:00,0,332,332
2023-08-18 02:40:00,0,331,331
2023-08-18 02:45:00,0,341,341
2023-08-18 02:50:00,0,334,334
2023-08-18 02:55:00,0,333,333
2023-08-18 03:00:00,0,327,327
2023-08-18 03:05:00,0,270,270
2023-08-18 03:10:00,0,258,258
2023-08-18 03:15:00,0,317,317
2023-08-18 03:20:00,0,324,324
2023-08-18 03:25:00,0,337,337
2023-08-18 03:30:00,0,332,332
2023-08-18 03:35:00,0,323,323
2023-08-18 03:40:00,0,323,323
2023-08-18 03:45:00,0,262,262
2023-08-18 03:50:00,0,260,260
2023-08-18 03:55:00,0,320,320
2023-08-18 04:00:00,0,328,328
2023-08-18 04:05:00,0,324,324
2023-08-18 04:10:00,0,332,332
2023-08-18 04:15:00,0,322,322
2023-08-18 04:20:00,0,327,327
2023-08-18 04:25:00,0,266,266
2023-08-18 04:30:00,0,265,265
2023-08-18 04:35:00,0,319,319
2023-08-18 04:40:00,0,322,322
2023-08-18 04:45:00,0,330,330
2023-08-18 04:50:00,0,329,329
2023-08-18 04:55:00,0,323,323
2023-08-18 05:00:00,0,256,256
2023-08-18 05:05:00,0,266,266
2023-08-18 05:10:00,0,274,274
2023-08-18 05:15:00,0,320,320
2023-08-18 05:20:00,0,321,321
2023-08-18 05:25:00,0,325,325
2023-08-18 05:30:00,0,331,331
2023-08-18 05:35:00,0,320,320
2023-08-18 05:40:00,0,261,261
2023-08-18 05:45:00,0,262,262
2023-08-18 05:50:00,0,295,295
2023-08-18 05:55:00,0,319,319
2023-08-18 06:00:00,0,533,533
2023-08-18 06:05:00,0,510,510
2023-08-18 06:10:00,0,329,329
2023-08-18 06:15:00,0,332,332
2023-08-18 06:20:00,0,271,271
2023-08-18 06:25:00,0,278,278
2023-08-18 06:30:00,0,541,541
2023-08-18 06:35:00,0,331,331
2023-08-18 06:40:00,0,324,324
2023-08-18 06:45:00,0,328,328
2023-08-18 06:50:00,0,328,328
2023-08-18 06:55:00,90,199,289
2023-08-18 07:00:00,125,174,299
2023-08-18 07:05:00,165,124,289
2023-08-18 07:10:00,194,301,495
2023-08-18 07:15:00,226,281,507
2023-08-18 07:20:00,266,248,514
2023-08-18 07:25:00,294,212,506
2023-08-18 07:30:00,279,272,551
2023-08-18 07:35:00,345,396,741
2023-08-18 07:40:00,388,90,478
2023-08-18 07:45:00,440,38,478
2023-08-18 07:50:00,432,109,541
2023-08-18 07:55:00,507,62,569
2023-08-18 08:00:00,504,0,504
2023-08-18 08:05:00,567,3724,4291
2023-08-18 08:10:00,2280,968,3248
2023-08-18 08:15:00,2520,672,3192
2023-08-18 08:20:00,2860,488,3348
2023-08-18 08:25:00,1781,1255,3036
2023-08-18 08:30:00,3272,82,3354
2023-08-18 08:35:00,3325,1315,4640
2023-08-18 08:40:00,3826,-149,3677
2023-08-18 08:45:00,4162,-708,3454
2023-08-18 08:50:00,4372,-906,3466
2023-08-18 08:55:00,4681,-1262,3419
2023-08-18 09:00:00,4801,-1374,3427
2023-08-18 09:05:00,4937,-4405,532
2023-08-18 09:10:00,2130,-1365,765
2023-08-18 09:15:00,2966,-2342,624
2023-08-18 09:20:00,5556,-4977,579
2023-08-18 09:25:00,4609,-4121,488
2023-08-18 09:30:00,5743,-5180,563
2023-08-18 09:35:00,5897,-5379,518
2023-08-18 09:40:00,5990,-5482,508
2023-08-18 09:45:00,6178,-5564,614
2023-08-18 09:50:00,6304,-5924,380
2023-08-18 09:55:00,6485,-6021,464
2023-08-18 10:00:00,6686,-6018,668
2023-08-18 10:05:00,7012,-6459,553
2023-08-18 10:10:00,7113,-6188,925
2023-08-18 10:15:00,6920,-6022,898
2023-08-18 10:20:00,7147,-6338,809
2023-08-18 10:25:00,7650,-6881,769
2023-08-18 10:30:00,7743,-6961,782
2023-08-18 10:35:00,7823,-7267,556
2023-08-18 10:40:00,7979,-7243,736
2023-08-18 10:45:00,7988,-7264,724
2023-08-18 10:50:00,8255,-7561,694
2023-08-18 10:55:00,2240,-1529,711
2023-08-18 11:00:00,8626,-7810,816
2023-08-18 11:05:00,8351,-7802,549
2023-08-18 11:10:00,8439,-7858,581
2023-08-18 11:15:00,8486,-7763,723
2023-08-18 11:20:00,8499,-7885,614
2023-08-18 11:25:00,8516,-6132,2384
2023-08-18 11:30:00,8598,-7203,1395
2023-08-18 11:35:00,8629,-6608,2021
2023-08-18 11:40:00,8776,-7600,1176
2023-08-18 11:45:00,8865,-7355,1510
2023-08-18 11:50:00,8902,-7464,1438
2023-08-18 11:55:00,8896,-6850,2046
2023-08-18 12:00:00,8968,-6606,2362
2023-08-18 12:05:00,8957,-8242,715
2023-08-18 12:10:00,8989,-8283,706
2023-08-18 12:15:00,9030,-8033,997
2023-08-18 12:20:00,9071,-8183,888
2023-08-18 12:25:00,9076,-8149,927
2023-08-18 12:30:00,9024,-8056,968
2023-08-18 12:35:00,9085,-8475,610
2023-08-18 12:40:00,9103,-8514,589
2023-08-18 12:45:00,9129,-8388,741
2023-08-18 12:50:00,9068,-6725,2343
2023-08-18 12:55:00,9075,-5089,3986
2023-08-18 13:00:00,9111,-6361,2750
2023-08-18 13:05:00,9154,-6351,2803
2023-08-18 13:10:00,9118,-4713,4405
2023-08-18 13:15:00,9147,-4745,4402
2023-08-18 13:20:00,9211,-6374,2837
2023-08-18 13:25:00,9253,-6547,2706
2023-08-18 13:30:00,9150,-6390,2760
2023-08-18 13:35:00,9058,-6069,2989
2023-08-18 13:40:00,8982,-4104,4878
2023-08-18 13:45:00,9018,-4244,4774
2023-08-18 13:50:00,8966,-6208,2758
2023-08-18 13:55:00,8929,-6000,2929
2023-08-18 14:00:00,8932,-5983,2949
2023-08-18 14:05:00,8865,-6005,2860
2023-08-18 14:10:00,8744,-5944,2800
2023-08-18 14:15:00,8828,-7983,845
2023-08-18 14:20:00,8793,-8000,793
2023-08-18 14:25:00,8629,-8048,581
2023-08-18 14:30:00,8577,-8007,570
2023-08-18 14:35:00,8529,-7613,916
2023-08-18 14:40:00,8470,-7772,698
2023-08-18 14:45:00,8382,-7658,724
2023-08-18 14:50:00,8359,-7421,938
2023-08-18 14:55:00,8356,-7171,1185
2023-08-18 15:00:00,8263,-7117,1146
2023-08-18 15:05:00,8257,-7657,600
2023-08-18 15:10:00,8141,-7589,552
2023-08-18 15:15:00,8022,-7431,591
2023-08-18 15:20:00,7909,-7535,374
2023-08-18 15:25:00,7830,-7216,614
2023-08-18 15:30:00,7695,-7204,491
2023-08-18 15:35:00,7631,-2991,4640
2023-08-18 15:40:00,7511,-6579,932
2023-08-18 15:45:00,7391,-6227,1164
2023-08-18 15:50:00,7249,-6197,1052
2023-08-18 15:55:00,7122,-6236,886
2023-08-18 16:00:00,7058,-6274,784
2023-08-18 16:05:00,6807,-5968,839
2023-08-18 16:10:00,6581,-5729,852
2023-08-18 16:15:00,6414,-4879,1535
2023-08-18 16:20:00,6267,-4801,1466
2023-08-18 16:25:00,5857,-5045,812
2023-08-18 16:30:00,5980,-5170,810
2023-08-18 16:35:00,5840,-4795,1045
2023-08-18 16:40:00,5423,-4401,1022
2023-08-18 16:45:00,5504,-4703,801
2023-08-18 16:50:00,5389,-4573,816
2023-08-18 16:55:00,5255,-3890,1365
2023-08-18 17:00:00,5030,-4003,1027
2023-08-18 17:05:00,4057,-3200,857
2023-08-18 17:10:00,4288,-3554,734
2023-08-18 17:15:00,3863,-3342,521
2023-08-18 17:20:00,4209,-3695,514
2023-08-18 17:25:00,3348,-2668,680
2023-08-18 17:30:00,2873,-2264,609
2023-08-18 17:35:00,3210,-2661,549
2023-08-18 17:40:00,3145,-2569,576
2023-08-18 17:45:00,2031,-1469,562
2023-08-18 17:50:00,2561,-2049,512
2023-08-18 17:55:00,2346,-1866,480
2023-08-18 18:00:00,2672,-2178,494
2023-08-18 18:05:00,2411,-1893,518
2023-08-18 18:10:00,2212,-1734,478
2023-08-18 18:15:00,2159,-1336,823
2023-08-18 18:20:00,2104,-1200,904
2023-08-18 18:25:00,1943,-984,959
2023-08-18 18:30:00,1747,-653,1094
2023-08-18 18:35:00,1472,-571,901
2023-08-18 18:40:00,505,1029,1534
2023-08-18 18:45:00,466,1177,1643
2023-08-18 18:50:00,435,954,1389
2023-08-18 18:55:00,398,843,1241
2023-08-18 19:00:00,376,778,1154
2023-08-18 19:05:00,352,642,994
2023-08-18 19:10:00,320,673,993
2023-08-18 19:15:00,290,814,1104
2023-08-18 19:20:00,266,839,1105
2023-08-18 19:25:00,240,787,1027
2023-08-18 19:30:00,225,756,981
2023-08-18 19:35:00,207,736,943
2023-08-18 19:40:00,180,2405,2585
2023-08-18 19:45:00,169,3828,3997
2023-08-18 19:50:00,154,2634,2788
2023-08-18 19:55:00,141,1092,1233
2023-08-18 20:00:00,122,1197,1319
2023-08-18 20:05:00,100,2488,2588
