Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-12-13 00:00:00,0,949,949
2023-12-13 00:05:00,0,415,415
2023-12-13 00:10:00,0,443,443
2023-12-13 00:15:00,0,414,414
2023-12-13 00:20:00,0,459,459
2023-12-13 00:25:00,0,1849,1849
2023-12-13 00:30:00,0,1832,1832
2023-12-13 00:35:00,0,1922,1922
2023-12-13 00:40:00,0,412,412
2023-12-13 00:45:00,0,443,443
2023-12-13 00:50:00,0,654,654
2023-12-13 00:55:00,0,635,635
2023-12-13 01:00:00,0,430,430
2023-12-13 01:05:00,0,598,598
2023-12-13 01:10:00,0,287,287
2023-12-13 01:15:00,0,306,306
2023-12-13 01:20:00,0,289,289
2023-12-13 01:25:00,0,538,538
2023-12-13 01:30:00,0,548,548
2023-12-13 01:35:00,0,1726,1726
2023-12-13 01:40:00,0,1717,1717
2023-12-13 01:45:00,0,1779,1779
2023-12-13 01:50:00,0,1816,1816
2023-12-13 01:55:00,0,1843,1843
2023-12-13 02:00:00,0,1816,1816
2023-12-13 02:05:00,0,2038,2038
2023-12-13 02:10:00,0,1994,1994
2023-12-13 02:15:00,0,253,253
2023-12-13 02:20:00,0,232,232
2023-12-13 02:25:00,0,528,528
2023-12-13 02:30:00,0,532,532
2023-12-13 02:35:00,0,504,504
2023-12-13 02:40:00,0,304,304
2023-12-13 02:45:00,0,271,271
2023-12-13 02:50:00,0,217,217
2023-12-13 02:55:00,0,471,471
2023-12-13 03:00:00,0,319,319
2023-12-13 03:05:00,0,1805,1805
2023-12-13 03:10:00,0,1852,1852
2023-12-13 03:15:00,0,1982,1982
2023-12-13 03:20:00,0,1948,1948
2023-12-13 03:25:00,0,1829,1829
2023-12-13 03:30:00,0,454,454
2023-12-13 03:35:00,0,526,526
2023-12-13 03:40:00,0,317,317
2023-12-13 03:45:00,0,530,530
2023-12-13 03:50:00,0,307,307
2023-12-13 03:55:00,0,291,291
2023-12-13 04:00:00,0,540,540
2023-12-13 04:05:00,0,1983,1983
2023-12-13 04:10:00,0,1812,1812
2023-12-13 04:15:00,0,1952,1952
2023-12-13 04:20:00,0,377,377
2023-12-13 04:25:00,0,360,360
2023-12-13 04:30:00,0,318,318
2023-12-13 04:35:00,0,550,550
2023-12-13 04:40:00,0,424,424
2023-12-13 04:45:00,0,308,308
2023-12-13 04:50:00,0,363,363
2023-12-13 04:55:00,0,1861,1861
2023-12-13 05:00:00,0,2074,2074
2023-12-13 05:05:00,0,1973,1973
2023-12-13 05:10:00,0,2152,2152
2023-12-13 05:15:00,0,2161,2161
2023-12-13 05:20:00,0,425,425
2023-12-13 05:25:00,0,379,379
2023-12-13 05:30:00,0,415,415
2023-12-13 05:35:00,0,280,280
