Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-12-29 00:00:00,0,2295,2295
2023-12-29 00:05:00,0,2048,2048
2023-12-29 00:10:00,0,2038,2038
2023-12-29 00:15:00,0,1749,1749
2023-12-29 00:20:00,0,1692,1692
2023-12-29 00:25:00,0,1700,1700
2023-12-29 00:30:00,0,1708,1708
2023-12-29 00:35:00,0,1749,1749
2023-12-29 00:40:00,0,3272,3272
2023-12-29 00:45:00,0,3306,3306
2023-12-29 00:50:00,0,3310,3310
2023-12-29 00:55:00,0,3521,3521
2023-12-29 01:00:00,0,3326,3326
2023-12-29 01:05:00,0,3215,3215
2023-12-29 01:10:00,0,3193,3193
2023-12-29 01:15:00,0,3220,3220
2023-12-29 01:20:00,0,3265,3265
2023-12-29 01:25:00,0,3308,3308
2023-12-29 01:30:00,0,3339,3339
2023-12-29 01:35:00,0,3562,3562
2023-12-29 01:40:00,0,3275,3275
2023-12-29 01:45:00,0,3495,3495
2023-12-29 01:50:00,0,3322,3322
2023-12-29 01:55:00,0,3251,3251
2023-12-29 02:00:00,0,3483,3483
2023-12-29 02:05:00,0,3236,3236
2023-12-29 02:10:00,0,3252,3252
2023-12-29 02:15:00,0,3283,3283
2023-12-29 02:20:00,0,3343,3343
2023-12-29 02:25:00,0,3356,3356
2023-12-29 02:30:00,0,1964,1964
2023-12-29 02:35:00,0,1737,1737
2023-12-29 02:40:00,0,1670,1670
2023-12-29 02:45:00,0,1676,1676
2023-12-29 02:50:00,0,344,344
2023-12-29 02:55:00,0,330,330
2023-12-29 03:00:00,0,341,341
2023-12-29 03:05:00,0,335,335
2023-12-29 03:10:00,0,328,328
2023-12-29 03:15:00,0,343,343
2023-12-29 03:20:00,0,340,340
2023-12-29 03:25:00,0,288,288
2023-12-29 03:30:00,0,836,836
2023-12-29 03:35:00,0,614,614
2023-12-29 03:40:00,0,833,833
2023-12-29 03:45:00,0,282,282
2023-12-29 03:50:00,0,258,258
2023-12-29 03:55:00,0,367,367
2023-12-29 04:00:00,0,377,377
2023-12-29 04:05:00,0,381,381
2023-12-29 04:10:00,0,377,377
2023-12-29 04:15:00,0,392,392
2023-12-29 04:20:00,0,590,590
2023-12-29 04:25:00,0,594,594
2023-12-29 04:30:00,0,367,367
2023-12-29 04:35:00,0,370,370
2023-12-29 04:40:00,0,281,281
2023-12-29 04:45:00,0,1822,1822
2023-12-29 04:50:00,0,2108,2108
2023-12-29 04:55:00,0,1942,1942
2023-12-29 05:00:00,0,1894,1894
2023-12-29 05:05:00,0,1962,1962
2023-12-29 05:10:00,0,1918,1918
2023-12-29 05:15:00,0,1943,1943
2023-12-29 05:20:00,0,1937,1937
2023-12-29 05:25:00,0,1897,1897
2023-12-29 05:30:00,0,1821,1821
2023-12-29 05:35:00,0,1859,1859
2023-12-29 05:40:00,0,1874,1874
2023-12-29 05:45:00,0,1940,1940
2023-12-29 05:50:00,0,1958,1958
2023-12-29 05:55:00,0,1922,1922
2023-12-29 06:00:00,0,1904,1904
2023-12-29 06:05:00,0,1935,1935
2023-12-29 06:10:00,0,8474,8474
2023-12-29 06:15:00,0,4814,4814
2023-12-29 06:20:00,0,4722,4722
2023-12-29 06:25:00,0,4713,4713
2023-12-29 06:30:00,0,4707,4707
2023-12-29 06:35:00,0,4792,4792
2023-12-29 06:40:00,0,4797,4797
2023-12-29 06:45:00,0,4807,4807
2023-12-29 06:50:00,0,3185,3185
2023-12-29 06:55:00,0,3207,3207
2023-12-29 07:00:00,0,3197,3197
2023-12-29 07:05:00,0,3200,3200
2023-12-29 07:10:00,0,3134,3134
2023-12-29 07:15:00,0,3154,3154
2023-12-29 07:20:00,0,3167,3167
2023-12-29 07:25:00,0,3234,3234
2023-12-29 07:30:00,0,3445,3445
2023-12-29 07:35:00,0,3228,3228
2023-12-29 07:40:00,0,3418,3418
2023-12-29 07:45:00,0,3211,3211
2023-12-29 07:50:00,0,3206,3206
2023-12-29 07:55:00,0,4607,4607
2023-12-29 08:00:00,0,4989,4989
2023-12-29 08:05:00,0,4872,4872
2023-12-29 08:10:00,0,4919,4919
2023-12-29 08:15:00,0,4753,4753
2023-12-29 08:20:00,0,4821,4821
2023-12-29 08:25:00,100,4636,4736
2023-12-29 08:30:00,142,4611,4753
2023-12-29 08:35:00,183,4562,4745
2023-12-29 08:40:00,246,4455,4701
2023-12-29 08:45:00,305,4413,4718
2023-12-29 08:50:00,388,4321,4709
2023-12-29 08:55:00,500,4219,4719
