Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-11-11 00:00:00,0,1838,1838
2023-11-11 00:05:00,0,2099,2099
2023-11-11 00:10:00,0,441,441
2023-11-11 00:15:00,0,232,232
2023-11-11 00:20:00,0,494,494
2023-11-11 00:25:00,0,291,291
2023-11-11 00:30:00,0,294,294
2023-11-11 00:35:00,0,514,514
2023-11-11 00:40:00,0,294,294
2023-11-11 00:45:00,0,234,234
2023-11-11 00:50:00,0,239,239
2023-11-11 00:55:00,0,510,510
2023-11-11 01:00:00,0,1797,1797
2023-11-11 01:05:00,0,2022,2022
2023-11-11 01:10:00,0,1870,1870
2023-11-11 01:15:00,0,532,532
2023-11-11 01:20:00,0,231,231
2023-11-11 01:25:00,0,224,224
2023-11-11 01:30:00,0,503,503
2023-11-11 01:35:00,0,283,283
2023-11-11 01:40:00,0,501,501
2023-11-11 01:45:00,0,1991,1991
2023-11-11 01:50:00,0,1769,1769
2023-11-11 01:55:00,0,1824,1824
2023-11-11 02:00:00,0,275,275
2023-11-11 02:05:00,0,514,514
2023-11-11 02:10:00,0,366,366
2023-11-11 02:15:00,0,302,302
2023-11-11 02:20:00,0,304,304
2023-11-11 02:25:00,0,242,242
2023-11-11 02:30:00,0,247,247
2023-11-11 02:35:00,0,327,327
2023-11-11 02:40:00,0,1779,1779
2023-11-11 02:45:00,0,1836,1836
2023-11-11 02:50:00,0,1869,1869
2023-11-11 02:55:00,0,1876,1876
2023-11-11 03:00:00,0,234,234
2023-11-11 03:05:00,0,242,242
2023-11-11 03:10:00,0,250,250
2023-11-11 03:15:00,0,288,288
2023-11-11 03:20:00,0,507,507
2023-11-11 03:25:00,0,300,300
2023-11-11 03:30:00,0,299,299
2023-11-11 03:35:00,0,239,239
2023-11-11 03:40:00,0,253,253
2023-11-11 03:45:00,0,1743,1743
2023-11-11 03:50:00,0,1814,1814
2023-11-11 03:55:00,0,1895,1895
2023-11-11 04:00:00,0,324,324
2023-11-11 04:05:00,0,293,293
2023-11-11 04:10:00,0,242,242
