Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2024-02-23 00:00:00,0,1897,1897
2024-02-23 00:05:00,0,1968,1968
2024-02-23 00:10:00,0,1917,1917
2024-02-23 00:15:00,0,2112,2112
2024-02-23 00:20:00,0,2120,2120
2024-02-23 00:25:00,0,1823,1823
2024-02-23 00:30:00,0,2053,2053
2024-02-23 00:35:00,0,2045,2045
2024-02-23 00:40:00,0,1924,1924
2024-02-23 00:45:00,0,1912,1912
2024-02-23 00:50:00,0,1843,1843
2024-02-23 00:55:00,0,1843,1843
2024-02-23 01:00:00,0,2071,2071
2024-02-23 01:05:00,0,1938,1938
2024-02-23 01:10:00,0,1932,1932
2024-02-23 01:15:00,0,1978,1978
2024-02-23 01:20:00,0,1937,1937
2024-02-23 01:25:00,0,2058,2058
2024-02-23 01:30:00,0,1825,1825
2024-02-23 01:35:00,0,1921,1921
2024-02-23 01:40:00,0,1956,1956
2024-02-23 01:45:00,0,2166,2166
2024-02-23 01:50:00,0,2051,2051
2024-02-23 01:55:00,0,2060,2060
2024-02-23 02:00:00,0,1883,1883
2024-02-23 02:05:00,0,1950,1950
2024-02-23 02:10:00,0,1963,1963
2024-02-23 02:15:00,0,1970,1970
2024-02-23 02:20:00,0,1984,1984
2024-02-23 02:25:00,0,2113,2113
2024-02-23 02:30:00,0,1839,1839
2024-02-23 02:35:00,0,1856,1856
2024-02-23 02:40:00,0,1936,1936
2024-02-23 02:45:00,0,2216,2216
2024-02-23 02:50:00,0,1846,1846
2024-02-23 02:55:00,0,2074,2074
2024-02-23 03:00:00,0,2060,2060
2024-02-23 03:05:00,0,1988,1988
2024-02-23 03:10:00,0,2235,2235
2024-02-23 03:15:00,0,2208,2208
2024-02-23 03:20:00,0,2176,2176
2024-02-23 03:25:00,0,2221,2221
2024-02-23 03:30:00,0,1894,1894
2024-02-23 03:35:00,0,563,563
2024-02-23 03:40:00,0,430,430
2024-02-23 03:45:00,0,660,660
2024-02-23 03:50:00,0,644,644
2024-02-23 03:55:00,0,346,346
2024-02-23 04:00:00,0,554,554
2024-02-23 04:05:00,0,435,435
2024-02-23 04:10:00,0,656,656
2024-02-23 04:15:00,0,693,693
2024-02-23 04:20:00,0,682,682
2024-02-23 04:25:00,0,462,462
2024-02-23 04:30:00,0,331,331
2024-02-23 04:35:00,0,343,343
2024-02-23 04:40:00,0,359,359
2024-02-23 04:45:00,0,431,431
2024-02-23 04:50:00,0,1915,1915
2024-02-23 04:55:00,0,2084,2084
2024-02-23 05:00:00,0,1887,1887
2024-02-23 05:05:00,0,1999,1999
2024-02-23 05:10:00,0,1962,1962
2024-02-23 05:15:00,0,1971,1971
2024-02-23 05:20:00,0,2004,2004
2024-02-23 05:25:00,0,2018,2018
2024-02-23 05:30:00,0,2010,2010
