Zeit,PV-Ertrag(W),Netz(W),Gesamtverbrauch(W)
2023-07-05 00:00:00,0,683,683
2023-07-05 00:05:00,0,449,449
2023-07-05 00:10:00,0,435,435
2023-07-05 00:15:00,0,433,433
2023-07-05 00:20:00,0,384,384
2023-07-05 00:25:00,0,359,359
2023-07-05 00:30:00,0,340,340
2023-07-05 00:35:00,0,369,369
2023-07-05 00:40:00,0,387,387
2023-07-05 00:45:00,0,321,321
2023-07-05 00:50:00,0,402,402
2023-07-05 00:55:00,0,354,354
2023-07-05 01:00:00,0,299,299
2023-07-05 01:05:00,0,288,288
2023-07-05 01:10:00,0,324,324
2023-07-05 01:15:00,0,355,355
2023-07-05 01:20:00,0,365,365
2023-07-05 01:25:00,0,574,574
2023-07-05 01:30:00,0,365,365
2023-07-05 01:35:00,0,346,346
2023-07-05 01:40:00,0,299,299
2023-07-05 01:45:00,0,287,287
2023-07-05 01:50:00,0,348,348
2023-07-05 01:55:00,0,349,349
2023-07-05 02:00:00,0,366,366
2023-07-05 02:05:00,0,353,353
2023-07-05 02:10:00,0,351,351
2023-07-05 02:15:00,0,346,346
2023-07-05 02:20:00,0,294,294
2023-07-05 02:25:00,0,286,286
2023-07-05 02:30:00,0,549,549
2023-07-05 02:35:00,0,565,565
2023-07-05 02:40:00,0,352,352
2023-07-05 02:45:00,0,348,348
2023-07-05 02:50:00,0,347,347
2023-07-05 02:55:00,0,345,345
2023-07-05 03:00:00,0,283,283
2023-07-05 03:05:00,0,282,282
2023-07-05 03:10:00,0,331,331
2023-07-05 03:15:00,0,347,347
2023-07-05 03:20:00,0,555,555
2023-07-05 03:25:00,0,345,345
2023-07-05 03:30:00,0,344,344
2023-07-05 03:35:00,0,281,281
2023-07-05 03:40:00,0,286,286
2023-07-05 03:45:00,0,509,509
2023-07-05 03:50:00,0,343,343
2023-07-05 03:55:00,0,348,348
2023-07-05 04:00:00,0,348,348
2023-07-05 04:05:00,0,383,383
2023-07-05 04:10:00,0,339,339
2023-07-05 04:15:00,0,275,275
2023-07-05 04:20:00,0,274,274
2023-07-05 04:25:00,0,320,320
